"","year","month","day","Tmax","Tmin","Ppt","interpYN"
"1",1925,1,1,32,13,0.1,0
"2",1925,1,2,31,4,0,0
"3",1925,1,3,29,0,0,0
"4",1925,1,4,30,15,0,0
"5",1925,1,5,34,-2,0,0
"6",1925,1,6,33,-2.8,0,1
"7",1925,1,7,24,-3.6,0,1
"8",1925,1,8,15,-4.4,0,1
"9",1925,1,9,6,-5.2,0,1
"10",1925,1,10,-3,-6,0,0
"11",1925,1,11,32,-4,0,1
"12",1925,1,12,18,-2,0.23,0
"13",1925,1,13,32,4,0,0
"14",1925,1,14,38,2,0.15,0
"15",1925,1,15,32,2,0,1
"16",1925,1,16,26,7,0,0
"17",1925,1,17,31,7,0,0
"18",1925,1,18,37,11,0,0
"19",1925,1,19,38,10,0,0
"20",1925,1,20,38,14,0,0
"21",1925,1,21,42,15,0,0
"22",1925,1,22,42,16,0,0
"23",1925,1,23,34,20,0,0
"24",1925,1,24,42,21,0.16,0
"25",1925,1,25,38,5,0,0
"26",1925,1,26,37,9,0,0
"27",1925,1,27,40,5,0,0
"28",1925,1,28,34,9,0,0
"29",1925,1,29,42,12,0,0
"30",1925,1,30,49,17,0,0
"31",1925,1,31,42,13,0,0
"32",1925,2,1,39,16,0,0
"33",1925,2,2,41,19,0.3,0
"34",1925,2,3,50,24,0.08,0
"35",1925,2,4,41,25,0.17,0
"36",1925,2,5,42,26,0.26,0
"37",1925,2,6,42,19,0,0
"38",1925,2,7,38,21,0,0
"39",1925,2,8,33,20,0.13,0
"40",1925,2,9,42,5,0,0
"41",1925,2,10,34,6,0,0
"42",1925,2,11,34,9,0,0
"43",1925,2,12,41,12,0,0
"44",1925,2,13,49,15,0,0
"45",1925,2,14,43,19,0,0
"46",1925,2,15,43,9,0,0
"47",1925,2,16,40,10,0,0
"48",1925,2,17,50,14,0,0
"49",1925,2,18,44,16,0,0
"50",1925,2,19,52,16,0,0
"51",1925,2,20,50,20,0,0
"52",1925,2,21,48,9,0.17,0
"53",1925,2,22,44,14,0,0
"54",1925,2,23,38,8,0.05,0
"55",1925,2,24,46,12,0,0
"56",1925,2,25,45,13,0,0
"57",1925,2,26,51,14,0,0
"58",1925,2,27,46,17,0,0
"59",1925,2,28,45,8,0,0
"60",1925,3,1,42,14,0,0
"61",1925,3,2,48,16,0,0
"62",1925,3,3,48,19,0,0
"63",1925,3,4,46,23,0,0
"64",1925,3,5,48,26,0,0
"65",1925,3,6,44,23,0.2,0
"66",1925,3,7,34,25,0,0
"67",1925,3,8,53,19,0,0
"68",1925,3,9,48,6,0,0
"69",1925,3,10,22,-1,0,0
"70",1925,3,11,43,14,0,0
"71",1925,3,12,48,7,0,0
"72",1925,3,13,48,9,0,0
"73",1925,3,14,51,13,0,0
"74",1925,3,15,45,16,0,0
"75",1925,3,16,51,21,0,0
"76",1925,3,17,50,11,0,0
"77",1925,3,18,45,14,0,0
"78",1925,3,19,48,20,0,0
"79",1925,3,20,44,23,0,0
"80",1925,3,21,46,25,0,0
"81",1925,3,22,46,31,0,0
"82",1925,3,23,44,19,0,0
"83",1925,3,24,47,24,0,0
"84",1925,3,25,54,13,0,0
"85",1925,3,26,42,16,0,0
"86",1925,3,27,50,32,0,0
"87",1925,3,28,50,33,0.35,0
"88",1925,3,29,53,32,0.85,0
"89",1925,3,30,38,24,0,0
"90",1925,3,31,50,30,0,0
"91",1925,4,1,56,28,0,0
"92",1925,4,2,56,28,0,0
"93",1925,4,3,61,33,0,0
"94",1925,4,4,64,35,0,0
"95",1925,4,5,55,29,0.65,0
"96",1925,4,6,45,24,0,0
"97",1925,4,7,55,29,0,0
"98",1925,4,8,64,31,0,0
"99",1925,4,9,68,32,0,0
"100",1925,4,10,71,33,0,0
"101",1925,4,11,74,34,0,0
"102",1925,4,12,64,32,0,0
"103",1925,4,13,65,29,0,0
"104",1925,4,14,69,32,0,0
"105",1925,4,15,66,36,0,0
"106",1925,4,16,70,39,0,0
"107",1925,4,17,61,23,0.2,0
"108",1925,4,18,54,32,0,0
"109",1925,4,19,54,20,0,0
"110",1925,4,20,53,28,0.09,0
"111",1925,4,21,51,22,0.29,0
"112",1925,4,22,43,21,0.45,0
"113",1925,4,23,42,20,0.02,0
"114",1925,4,24,50,22,0,0
"115",1925,4,25,52,21,0,0
"116",1925,4,26,60,26,0,0
"117",1925,4,27,61,20,0,0
"118",1925,4,28,60,23,0,0
"119",1925,4,29,68,31,0,0
"120",1925,4,30,72,35,0,0
"121",1925,5,1,73,35,0,0
"122",1925,5,2,72,36,0,0
"123",1925,5,3,62,26,0,0
"124",1925,5,4,72,40,0,0
"125",1925,5,5,76,41,0,0
"126",1925,5,6,73,40,0,0
"127",1925,5,7,69,25,0.22,0
"128",1925,5,8,59,39,0,0
"129",1925,5,9,69,35,0,0
"130",1925,5,10,73,40,0,0
"131",1925,5,11,60,39,0.52,0
"132",1925,5,12,65,34,0,0
"133",1925,5,13,73,40,0,0
"134",1925,5,14,69,39,0.12,0
"135",1925,5,15,66,43,0,0
"136",1925,5,16,69,45,0,0
"137",1925,5,17,71,43,0.15,0
"138",1925,5,18,79,43,0,0
"139",1925,5,19,77.6,41.8,0,1
"140",1925,5,20,76.2,40.6,0,1
"141",1925,5,21,74.8,39.4,0,1
"142",1925,5,22,73.4,38.2,0,1
"143",1925,5,23,72,37,0,0
"144",1925,5,24,74,42,0,0
"145",1925,5,25,70,41,0.13,0
"146",1925,5,26,73,43,0.08,0
"147",1925,5,27,75,40,0,0
"148",1925,5,28,80,45,0,0
"149",1925,5,29,82,46,0,0
"150",1925,5,30,68,35,0,0
"151",1925,5,31,70,45,0.04,0
"152",1925,6,1,68,40,0.38,0
"153",1925,6,2,64,35,0.16,0
"154",1925,6,3,60,37,0.04,0
"155",1925,6,4,63,35,0.22,0
"156",1925,6,5,60,33,0.24,0
"157",1925,6,6,62,33,0,0
"158",1925,6,7,65.3333333333333,35.3333333333333,0,1
"159",1925,6,8,68.6666666666667,37.6666666666667,0,1
"160",1925,6,9,72,40,0,0
"161",1925,6,10,67,30,0,0
"162",1925,6,11,69,38,0,0
"163",1925,6,12,70,35,0,0
"164",1925,6,13,68,35,0,0
"165",1925,6,14,70,35,0,0
"166",1925,6,15,71,35,0.03,0
"167",1925,6,16,62,34,0.28,0
"168",1925,6,17,68,38,0.12,0
"169",1925,6,18,68,38,0,0
"170",1925,6,19,72,35,0,0
"171",1925,6,20,85,40,0,0
"172",1925,6,21,80,38,0.15,0
"173",1925,6,22,85,45,0,0
"174",1925,6,23,90,42,0,0
"175",1925,6,24,95,48,0,0
"176",1925,6,25,95,43,0,0
"177",1925,6,26,88,40,0,0
"178",1925,6,27,90,45,0,0
