"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL"
1931,28.1,23.4,35.7,56.6,69.1,81.2,90.2,86,73,60.3,37.8,28,"NA"
1932,20.1,28.6,33.5,50.3,65.2,72.7,82.9,82.9,75.8,55,42.9,22,"NA"
1933,25.2,19.4,38.1,53.3,59.4,81.2,90,82.8,72.5,63.9,43.7,35.7,"NA"
1934,33.6,43.4,58.4,67.2,77.2,75.5,89.3,87.9,68.3,64.5,46.8,33.2,"NA"
1935,31.5,34,36.4,50.9,61.1,76,87.7,86.1,78.2,60.6,33.2,32.5,"NA"
1936,27.6,27.5,36.6,54.7,73.3,76.6,88.4,83,71.6,59.7,42.8,30.7,"NA"
1937,11.5,25,36.6,49.4,69.1,72.7,85.4,84.9,75.4,61.8,41.5,32.1,"NA"
1938,29.7,32.5,35.1,51.5,60.5,74.4,78.9,81.3,78,56.5,32.9,30.6,"NA"
1939,26.3,21.3,40.1,58.1,68.1,70.4,86,84.6,71.8,55.7,50.7,36.6,"NA"
1940,27.4,31.2,41.5,54.4,70.4,79.4,85.9,87.5,68.7,58.1,35.1,32.5,"NA"
1941,29.4,34.8,41.5,53.1,65.2,70.9,83.1,77.6,62.5,54.1,42,31.7,"NA"
1942,26.3,24.4,34.2,55.4,57.9,71,87.1,85.2,72.8,58,39.2,28.8,"NA"
1943,24.5,32.6,34.1,60.9,60.2,69,85.5,84.2,77.2,59.6,43.2,35.2,"NA"
1944,27,28.4,32.2,51.6,65.3,66.8,79.7,81.3,72.8,65.5,33.9,27.8,"NA"
1945,27.2,"NA",34.9,48.4,63,65.2,84.5,83.6,67.1,61.7,36,25.5,"NA"
1946,24.8,28,38.2,59.6,62.1,74.6,86.5,86.2,72.3,47.6,37.6,32.9,"NA"
1947,22.5,33.3,46.1,53.9,69.9,68.3,88,83.8,73.6,60.1,33.3,28.7,"NA"
1948,27.9,30.3,34.1,53.4,65.4,75.2,83.8,84,74.1,61.1,33.1,22.9,"NA"
1949,15.2,25.2,41,62.8,67.3,74.4,85.5,85.8,75.3,49.2,47.7,27.2,"NA"
1950,20.6,31,35.6,52.5,62.5,72.9,81.4,81.8,68.8,61.1,42.4,33.6,"NA"
1951,25.3,30.9,33.5,57,65.6,69.2,86.2,78.2,72.8,51.8,37.5,22.3,"NA"
1952,22.5,24.4,30.1,51.9,66.4,75.6,82.4,82.7,77.7,65.5,35.6,28.4,"NA"
1953,32.2,29,40.7,50.1,58.4,70.8,88.5,84.5,77.9,62,46.8,27.5,"NA"
1954,28.8,38.6,38.2,58.2,68.1,70.1,88.7,82.2,74.1,58.6,47.6,29.5,"NA"
1955,19.7,23.7,30.5,46.3,63.2,71.6,83.1,86.2,72.3,60,35.5,31.1,"NA"
1956,31.4,23.7,37.5,56.4,67.5,79.3,85.6,81.5,75,55.3,38,29.7,"NA"
1957,21.3,33.4,40.9,52.1,62.8,71.8,86,84.3,73.8,56.4,34.8,30.9,"NA"
1958,30.6,36.3,35.4,49.5,73.1,75.2,81.7,86.4,74.8,63.3,39.9,34.6,"NA"
1959,29.4,31,37.3,57.1,58.8,76.4,85.2,83.4,67.6,56.5,39.1,33,"NA"
1960,23.5,23.4,38,56.2,63.5,78.3,89,81.6,75.2,56.2,37.8,30.6,"NA"
1961,32.2,34.6,40.4,52.2,64.5,82.3,88.5,84.3,61.8,52.5,37.6,24.6,"NA"
1962,19.6,30,33.5,56.4,61.5,72,80.4,79.5,74.3,62.4,44.5,33.3,"NA"
1963,20.9,42.8,45.2,49.8,65,68.3,85.5,85,74.5,63.6,38.7,25.4,"NA"
1964,22,22.9,28.7,48.4,62.5,65.2,85.7,80.6,70.7,61.2,37.6,28.9,"NA"
1965,28.8,29.3,34.4,53.2,61.3,70.9,81,79.4,62.9,63.7,45.4,32.1,"NA"
1966,29.5,31.5,42.8,54.3,71.8,75.7,89.3,83,75.6,55.8,41.3,28.5,"NA"
1967,28.1,31.3,38.4,48.7,64.6,68.2,83.5,87.6,77.1,57.8,41.6,24,"NA"
1968,26.9,35.4,46.4,52.2,61.2,72.2,86.5,74.1,68.7,56.4,35.6,26.3,"NA"
1969,27.2,30,33.9,53.5,70.3,70.8,84.2,88.4,75,52,42,33.5,"NA"
1970,28.5,40,38.5,45.9,64.2,74.2,84.1,88,66.4,51.3,38.8,25.9,"NA"
1971,24.7,30.3,34.1,50.1,64.9,71.8,83,88.3,65.7,53.1,36.3,22.8,"NA"
1972,21.8,30.6,44.7,54.2,66,75.6,81.5,82.8,67.3,57.4,36.7,22.8,"NA"
1973,24.3,31.4,37,47.7,66.6,73.8,83.3,84,71.1,59.3,36.2,30.1,"NA"
1974,23.8,29.8,37.2,54.3,63.8,81.4,86.6,80.7,75.9,60.4,40.3,28,"NA"
1975,22.6,27.5,34.5,39.4,58.3,69.9,85.7,79.6,74.6,55,36.1,31,"NA"
1976,27.5,31.8,33.9,50.9,67.8,72.8,87,79.1,73.4,56,44.4,33.9,"NA"
1977,24.4,35.3,39.2,63,58.6,78.8,84,80.2,71.2,59.9,38.6,30.7,"NA"
1978,29.5,31.3,42.7,52.2,62.6,75.8,84.2,81,69.2,62.2,36.6,20.7,"NA"
1979,18.5,30,39.2,52.1,66.3,77.5,85.9,82,79.5,60.5,36.8,34.1,"NA"
1980,25.7,35.8,41.5,58.8,61.8,71.1,83.2,79,71.3,58.5,41.9,35.7,"NA"
1981,40,35.7,48.3,58.4,63,74.3,86.2,89.3,78.2,55.8,45.2,31.3,"NA"
1982,24.9,28.7,40.3,49.6,63.7,72.9,81.1,87.3,70,53.7,35.7,27.9,"NA"
1983,33.3,36.2,40.6,48.5,62.5,71.3,80.3,84.8,73.6,58.8,38.1,21.8,"NA"
1984,24.8,31.3,37.7,47.5,64.1,68.8,82.9,82.2,70.1,51.2,37.8,24.6,"NA"
1985,24.5,25,37.1,56.8,69.3,78.5,87.9,81.6,63.7,54.7,29.2,25.1,"NA"
1986,33.3,34.1,49.8,54.6,65.4,80.7,80.9,85.1,63.8,59.7,39.7,34.7,"NA"
1987,27.9,37.5,45.1,66.2,69.1,78.3,80.6,80.8,78.9,64.9,43,31.4,"NA"
1988,27,34.8,43.2,60.7,67.9,84.1,89.8,87.6,74.5,69.2,36.1,27,"NA"
1989,24.5,26,40.4,59.6,66.4,76.3,89.4,79.6,73.7,55.5,41.8,30.9,"NA"
1990,31.1,30.5,47.5,61.2,63.3,75.7,86.7,84.2,80.3,58,43,20.3,"NA"
1991,26.3,41.6,43.7,52.9,59.9,73.6,86.2,86.7,73.5,57.7,34.5,32.2,"NA"
1992,31.5,40.8,53.4,63.4,73.9,76.8,80.6,85.8,71.7,62.5,33.5,24.6,"NA"
1993,26.9,30.2,39.4,50.5,67.5,68.8,72.3,78,72.4,57.2,36.8,30.9,"NA"
1994,33.2,31,50.1,58.8,71.5,78.8,87.2,87.5,78.8,54.8,31.9,30.1,"NA"
1995,30.7,36.9,39.4,53.4,60.7,68.7,79.9,84.6,74,55.4,44.5,35.2,"NA"
1996,29.3,34.8,44.6,55.2,61.7,78.9,85.9,84.8,69.9,56.5,42.3,29.2,"NA"
1997,29.4,34.8,44.8,52.3,68.4,75.6,82.4,83.3,75.5,56.5,42.7,30,"NA"
1998,32.7,34.9,39.7,55.2,64.4,67,88.3,86.2,78.3,60.5,40,27.2,"NA"
1999,31.8,33.1,42,52,61.4,72.6,85.5,84.9,72.6,63.4,51.8,30,"NA"
2000,29.9,38.4,44.3,61.2,67,78.9,88.5,88.7,72.1,57,34.1,30,"NA"
2001,29.4,31.3,46.3,56.1,73.8,79,86.9,89.5,79.9,59.9,46.9,25.8,"NA"
2002,25.7,29.4,35.7,56.3,66.5,78.1,91.3,84.5,74.6,56.1,38.8,33,"NA"
2003,35.5,34.4,47.7,54.9,67.5,78.8,94.1,90,75.1,65.5,36.8,33.8,"NA"
2004,27.6,31.5,49,60.5,65.6,77.2,85.8,83,72.7,58,42.2,33,"NA"
2005,31.3,35.8,43.7,57.2,63.5,72.8,88.5,85,72.3,58,39.7,26.5,"NA"
2006,28.6,25.4,36.6,54.2,67.2,77.8,88.5,83.2,70.1,52.9,39.5,30.4,"NA"
