"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL"
1931,12.6,14.9,18.7,30,44.7,48.4,56.4,51.7,42.8,33.2,17.9,12,"NA"
1932,3.4,8.8,14.4,30.1,38.8,45.4,50.3,50.8,42.5,28.4,24.1,4.9,"NA"
1933,8.7,-0.1,19.5,27.3,34.5,49.6,55.7,51.2,40.8,35.7,24.3,20.5,"NA"
1934,19.6,25,31.1,37.1,44.5,46,55.7,55.3,39.5,35.6,26.9,12.6,"NA"
1935,13.2,14.2,19,28.9,37.3,47.1,52.2,50.5,44.2,31.2,16.9,14.9,"NA"
1936,9.4,7.9,17.7,31.1,41.9,49,55.1,51.9,41.2,34.3,19.9,16.6,"NA"
1937,-5.6,8.3,18.8,28.6,41.6,43.3,54.2,49.5,44.3,34.7,23.5,16.8,"NA"
1938,11.5,14.2,21.1,30.2,37.8,46.9,52.1,49.2,48.4,35.7,16.4,17.2,"NA"
1939,11.4,5,21.9,31.8,40.5,42.1,53.6,51.7,43.5,33.1,25.3,20,"NA"
1940,13.2,18.4,24.6,32,40.7,49.3,54.6,53.8,45.9,37,20.4,17.9,"NA"
1941,15.6,17.2,24.5,31.8,38.3,44.8,53.5,51.6,37.9,32.9,24.5,19.6,"NA"
1942,10.9,8.2,16.2,32.4,35.2,42.7,54.8,52.1,42.7,33.2,21.4,13.1,"NA"
1943,8,12,11.7,34.6,37.1,41.3,52.3,50.2,45.1,37,25.5,17.5,"NA"
1944,8,15.1,14.6,30.4,39.6,42.6,49.8,48,41.9,36.6,20.8,12.2,"NA"
1945,13.4,15.7,17.6,24.4,37.9,41.7,53.6,49,38.4,34.7,20.1,11.5,"NA"
1946,8,9.3,22.3,32.7,38.8,46.1,53.7,52.3,41.5,28.4,23.9,21.1,"NA"
1947,5.3,17,25.5,28.7,40.9,42.9,52.7,50.3,42.7,38,18.5,15.4,"NA"
1948,10.5,14.9,16.8,29.4,38.1,48.7,51.7,49.6,44.3,34.2,17.8,7.4,"NA"
1949,-1.2,7.8,23.9,33.1,40.9,43.5,52.6,54.6,44.2,29.1,28.5,11.7,"NA"
1950,4.5,15.8,18.9,28.6,33.4,43.5,50.8,50.3,43.2,35.8,25.2,21.4,"NA"
1951,6.9,15,14.5,30.3,39.5,41.2,52.1,49.7,42,32.1,20.6,8.4,"NA"
1952,7.9,7.8,14.5,29.9,40.1,45.7,49.5,51.8,44.4,34.8,15.7,16.4,"NA"
1953,22.1,15.1,21.2,26.7,34.4,42.9,54.7,51.2,44.9,36.8,27.8,12.2,"NA"
1954,16,21.7,19.3,30.6,39.9,43.1,54.5,49.6,42.7,30.7,28.3,12.9,"NA"
1955,4.7,8,9.6,26.1,37.3,43.5,51.5,53.3,43.7,32.5,16.7,16.9,"NA"
1956,17.9,5.2,18,31.8,41.3,46.1,54.8,49.7,41.2,33.2,17.3,14.2,"NA"
1957,3.8,16.7,22.6,29.6,41.7,45.6,51.5,51,42.7,34.2,18.5,16,"NA"
1958,13.6,23.4,20.6,28.3,44.1,48.8,52.2,54.6,41.5,34.4,22,17.6,"NA"
1959,13.5,14.1,17.9,29.4,33.9,46.3,51.5,48.7,41.7,32.9,17.1,15.3,"NA"
1960,9.2,7.1,19.5,30,35.5,46.5,56.2,48.5,45.3,33,24.1,13.6,"NA"
1961,13.7,21.5,22.9,28.4,39,50.5,55.2,51.9,38.4,31.3,21.6,9.9,"NA"
1962,3.5,16.3,16.4,32.6,38.8,45.5,51.2,47.8,42.9,36.7,26.3,18.3,"NA"
1963,2.3,24,22.3,28,40.7,44,51.4,52.5,47.5,38.3,25.1,10.7,"NA"
1964,6.2,4.7,11.3,27.6,37.2,44.2,53.8,48.3,39.8,34.1,22.4,12.9,"NA"
1965,14,13.8,13.5,32.8,35.5,44.4,51,49.7,36.4,35.1,28.3,17.4,"NA"
1966,13,11.4,21,28.8,39.5,45.3,53.5,50.5,46.9,30.5,25.4,14.7,"NA"
1967,16.2,14.6,22,27.1,38.2,45.5,52.9,53.5,47,32.1,23,7.2,"NA"
1968,9.5,20.2,25.5,26.1,36.3,44.1,51.9,48,40.9,32.3,20.9,10.9,"NA"
1969,12.7,15,14.2,32,41.9,44.2,51.8,51.6,44.1,28.4,22.6,17.1,"NA"
1970,15.5,19.1,20.6,24.4,37.7,46.6,50.9,51.7,36.1,27.9,24.7,11.9,"NA"
1971,11.4,14,16.6,29.4,39,44.4,50.6,53.8,37,30.9,20.4,6.8,"NA"
1972,6.3,15.1,25.1,28.6,38.8,46.6,51.1,52.7,39.4,35.1,24.5,7.5,"NA"
1973,8.1,14.3,20.4,28.4,38.5,45.1,53.3,52.2,41.2,33.5,23.5,14.7,"NA"
1974,8.9,12.8,20.8,30.1,36.6,48.9,53.8,49.5,42.6,34.7,24.7,10.7,"NA"
1975,5.2,9,18.1,23.3,34.1,42.5,55.8,48.4,43.1,33,18.8,17.8,"NA"
1976,12.1,14.1,14.9,30,40,43.1,54.2,48,45.1,31.4,23.2,15.3,"NA"
1977,7,15.1,20,33.2,36.4,50.4,53.2,50.4,41.6,32.9,20.2,16.5,"NA"
1978,17.5,16.7,24.6,31.4,37,45.9,52.4,49.6,41.6,32.8,17.6,2.4,"NA"
1979,2.5,13.1,20.2,28.2,39.1,45.1,52.3,51,44.5,34.3,17.4,17.2,"NA"
1980,9.4,20.1,22.1,33.2,39.3,45.1,52.2,49.8,43.3,33.5,23.5,21.4,"NA"
1981,21.4,17.1,26.5,32.6,39.5,45.4,52.5,55,45.6,31.5,26,14.6,"NA"
1982,7.6,12,23.2,25.2,36.4,44.6,51.4,53.6,43.7,32.5,19.1,12.7,"NA"
1983,18,18,25.9,27.3,37.1,44.1,51.1,54.4,42.6,36.5,25.3,6.4,"NA"
1984,10.2,10.6,21.2,28,37.3,43.4,52.9,52.8,39.7,29.6,22.8,7.4,"NA"
1985,5.6,4.1,14.8,31.1,39.3,45.8,53.8,47.3,36.9,28.6,12.1,7.9,"NA"
1986,15.6,19.6,28.5,30.6,37.1,49.2,48.4,52.7,39.4,33.2,20.9,14.4,"NA"
1987,9.2,18.9,24.9,33.9,42.1,46.8,50.8,48.8,45.2,34.4,26.4,14.5,"NA"
1988,8.2,14.4,22.7,33.8,38.7,48.8,54.6,50.5,42.6,39,21.1,10.6,"NA"
1989,4.4,7.3,24.6,31.6,37.6,45,53.5,48,40.3,32.2,21,11,"NA"
1990,12.8,11.1,23.3,33.6,35.7,44.7,52.6,51.1,47.3,29.9,21.4,-0.1,"NA"
1991,9.8,22.5,24.4,28.9,36.5,43.6,51.9,53.1,43.1,31.2,19.3,13.4,"NA"
1992,13.6,22.5,29.2,34.2,41.7,47.8,48.8,50.8,39.2,34.6,17.9,9.5,"NA"
1993,8.9,11,22.4,29.7,40.3,42.2,43.8,45.6,40.8,32.3,14.8,13.5,"NA"
1994,17.1,12.6,24.5,32.1,41,46.3,51.7,51.8,45,32.3,15.2,15.9,"NA"
