,quad,year,trackID,area.t1,area.t0,age,allEdge,distEdgeMin,QuadName,Grazing,Group
1,Q1,32,1,61.68448252,47.16780136,1,0,7.20E-09,E1 Q1,UG,E1
5,Q1,33,1,31.37225491,61.68448252,2,0,-1.85E-08,E1 Q1,UG,E1
11,Q1,34,1,53.90558848,31.37225491,3,0,2.996504246,E1 Q1,UG,E1
18,Q1,35,1,32.74968256,53.90558848,4,0,-1.72E-08,E1 Q1,UG,E1
26,Q1,36,1,39.80144136,32.74968256,5,0,1.71E-08,E1 Q1,UG,E1
33,Q1,37,1,49.58076761,39.80144136,6,0,8.72E-09,E1 Q1,UG,E1
39,Q1,38,1,56.02061518,49.58076761,7,0,1.47E-08,E1 Q1,UG,E1
45,Q1,39,1,98.08605011,56.02061518,8,0,2.21E-08,E1 Q1,UG,E1
50,Q1,40,1,88.30226617,98.08605011,9,0,-1.20E-10,E1 Q1,UG,E1
55,Q1,41,1,90.23091173,88.30226617,10,0,-1.50E-08,E1 Q1,UG,E1
60,Q1,45,1,97.94255283,234.9600925,14,0,-7.37E-09,E1 Q1,UG,E1
2,Q1,32,2,242.7578249,130.3759727,1,0,2.241887836,E1 Q1,UG,E1
6,Q1,33,2,156.2497546,242.7578249,2,0,2.506787059,E1 Q1,UG,E1
12,Q1,34,2,390.0482551,156.2497546,3,0,5.359333965,E1 Q1,UG,E1
20,Q1,35,2,243.0044365,390.0482551,4,0,-1.72E-08,E1 Q1,UG,E1
27,Q1,36,2,481.3359627,243.0044365,5,0,1.71E-08,E1 Q1,UG,E1
34,Q1,37,2,642.7998063,481.3359627,6,0,8.72E-09,E1 Q1,UG,E1
40,Q1,38,2,668.4929687,642.7998063,7,0,1.47E-08,E1 Q1,UG,E1
46,Q1,39,2,827.4595026,668.4929687,8,0,0.08676286,E1 Q1,UG,E1
51,Q1,40,2,942.3436047,827.4595026,9,0,0.042018296,E1 Q1,UG,E1
56,Q1,41,2,956.4546842,942.3436047,10,0,1.78E-08,E1 Q1,UG,E1
61,Q1,45,2,713.8696123,1032.598219,14,0,0.05794878,E1 Q1,UG,E1
66,Q1,46,2,439.0606524,713.8696123,15,0,-9.85E-09,E1 Q1,UG,E1
71,Q1,49,2,326.9722714,521.2251731,18,0,-2.20E-08,E1 Q1,UG,E1
75,Q1,50,2,104.7753248,326.9722714,19,0,-6.37E-09,E1 Q1,UG,E1
82,Q1,51,2,210.1912008,104.7753248,20,0,0.001279226,E1 Q1,UG,E1
88,Q1,54,2,233.3819214,223.5280298,23,0,4.727023768,E1 Q1,UG,E1
92,Q1,55,2,219.8599289,233.3819214,24,0,2.97607845,E1 Q1,UG,E1
3,Q1,32,4,168.5161151,136.4095361,1,0,7.672801129,E1 Q1,UG,E1
7,Q1,33,4,96.16738293,168.5161151,2,0,5.694694113,E1 Q1,UG,E1
13,Q1,34,4,198.9532036,96.16738293,3,0,6.973012084,E1 Q1,UG,E1
21,Q1,35,4,183.2819895,198.9532036,4,0,4.80641911,E1 Q1,UG,E1
28,Q1,36,4,194.7120495,183.2819895,5,0,5.558158184,E1 Q1,UG,E1
35,Q1,37,4,351.7454505,194.7120495,6,0,9.712424574,E1 Q1,UG,E1
41,Q1,38,4,231.6537649,351.7454505,7,0,2.247572998,E1 Q1,UG,E1
47,Q1,39,4,318.6190807,231.6537649,8,0,5.622928474,E1 Q1,UG,E1
52,Q1,40,4,405.0849064,318.6190807,9,0,4.108631574,E1 Q1,UG,E1
57,Q1,41,4,354.138134,405.0849064,10,0,0.889984735,E1 Q1,UG,E1
63,Q1,45,4,132.4472605,324.6171046,14,0,2.505830035,E1 Q1,UG,E1
68,Q1,46,4,119.9457854,132.4472605,15,0,2.691154234,E1 Q1,UG,E1
72,Q1,49,4,33.98783693,29.93262212,18,0,17.05448238,E1 Q1,UG,E1
79,Q1,50,4,25.6663713,33.98783693,19,0,12.6820394,E1 Q1,UG,E1
85,Q1,51,4,47.67853698,25.6663713,20,0,15.39097381,E1 Q1,UG,E1
90,Q1,54,4,45.4634387,69.58100723,23,0,13.0641652,E1 Q1,UG,E1
94,Q1,55,4,68.86029374,45.4634387,24,0,11.34355895,E1 Q1,UG,E1
4,Q1,32,5,97.67854983,81.55941632,1,0,-1.95E-08,E1 Q1,UG,E1
8,Q1,33,5,35.63158355,97.67854983,2,0,9.17E-09,E1 Q1,UG,E1
14,Q1,34,5,129.142221,35.63158355,3,0,0.126283955,E1 Q1,UG,E1
22,Q1,35,5,140.3489309,129.142221,4,0,0.13938941,E1 Q1,UG,E1
29,Q1,36,5,149.2039631,140.3489309,5,0,0.158175336,E1 Q1,UG,E1
36,Q1,37,5,222.7644417,149.2039631,6,0,0.114279266,E1 Q1,UG,E1
42,Q1,38,5,228.9996254,222.7644417,7,0,0.040042535,E1 Q1,UG,E1
48,Q1,39,5,189.7189649,228.9996254,8,0,0.195235491,E1 Q1,UG,E1
53,Q1,40,5,174.541829,189.7189649,9,0,0.056375346,E1 Q1,UG,E1
58,Q1,41,5,92.02482068,174.541829,10,0,0.085925363,E1 Q1,UG,E1
