,quad,year,trackID,area,survives,age,distEdgeMin,allEdge,seedling,QuadName,Grazing,Group
4,Q1,32,1,47.16780136,1,1,7.20E-09,0,0,E1 Q1,UG,E1
7,Q1,33,1,61.68448252,1,2,-1.85E-08,0,0,E1 Q1,UG,E1
17,Q1,34,1,31.37225491,1,3,2.996504246,0,0,E1 Q1,UG,E1
29,Q1,35,1,53.90558848,1,4,-1.72E-08,0,0,E1 Q1,UG,E1
35,Q1,36,1,32.74968256,1,5,1.71E-08,0,0,E1 Q1,UG,E1
48,Q1,37,1,39.80144136,1,6,8.72E-09,0,0,E1 Q1,UG,E1
55,Q1,38,1,49.58076761,1,7,1.47E-08,0,0,E1 Q1,UG,E1
59,Q1,39,1,56.02061518,1,8,2.21E-08,0,0,E1 Q1,UG,E1
65,Q1,40,1,98.08605011,1,9,-1.20E-10,0,0,E1 Q1,UG,E1
72,Q1,41,1,88.30226617,1,10,-1.50E-08,0,0,E1 Q1,UG,E1
75,Q1,45,1,234.9600925,1,14,-7.37E-09,0,0,E1 Q1,UG,E1
87,Q1,46,1,97.94255283,0,15,-9.85E-09,0,0,E1 Q1,UG,E1
2,Q1,32,2,130.3759727,1,1,2.241887836,0,0,E1 Q1,UG,E1
8,Q1,33,2,242.7578249,1,2,2.506787059,0,0,E1 Q1,UG,E1
19,Q1,34,2,156.2497546,1,3,5.359333965,0,0,E1 Q1,UG,E1
31,Q1,35,2,390.0482551,1,4,-1.72E-08,0,0,E1 Q1,UG,E1
41,Q1,36,2,243.0044365,1,5,1.71E-08,0,0,E1 Q1,UG,E1
46,Q1,37,2,481.3359627,1,6,8.72E-09,0,0,E1 Q1,UG,E1
52,Q1,38,2,642.7998063,1,7,1.47E-08,0,0,E1 Q1,UG,E1
56,Q1,39,2,668.4929687,1,8,0.08676286,0,0,E1 Q1,UG,E1
62,Q1,40,2,827.4595026,1,9,0.042018296,0,0,E1 Q1,UG,E1
68,Q1,41,2,942.3436047,1,10,1.78E-08,0,0,E1 Q1,UG,E1
73,Q1,45,2,1032.598219,1,14,0.05794878,0,0,E1 Q1,UG,E1
82,Q1,46,2,713.8696123,1,15,-9.85E-09,0,0,E1 Q1,UG,E1
89,Q1,49,2,521.2251731,1,18,-2.20E-08,0,0,E1 Q1,UG,E1
99,Q1,50,2,326.9722714,1,19,-6.37E-09,0,0,E1 Q1,UG,E1
104,Q1,51,2,104.7753248,1,20,0.001279226,0,0,E1 Q1,UG,E1
107,Q1,54,2,223.5280298,1,23,4.727023768,0,0,E1 Q1,UG,E1
112,Q1,55,2,233.3819214,1,24,2.97607845,0,0,E1 Q1,UG,E1
5,Q1,32,3,156.213678,0,1,5.769712837,0,0,E1 Q1,UG,E1
3,Q1,32,4,136.4095361,1,1,7.672801129,0,0,E1 Q1,UG,E1
10,Q1,33,4,168.5161151,1,2,5.694694113,0,0,E1 Q1,UG,E1
13,Q1,34,4,96.16738293,1,3,6.973012084,0,0,E1 Q1,UG,E1
30,Q1,35,4,198.9532036,1,4,4.80641911,0,0,E1 Q1,UG,E1
36,Q1,36,4,183.2819895,1,5,5.558158184,0,0,E1 Q1,UG,E1
44,Q1,37,4,194.7120495,1,6,9.712424574,0,0,E1 Q1,UG,E1
50,Q1,38,4,351.7454505,1,7,2.247572998,0,0,E1 Q1,UG,E1
57,Q1,39,4,231.6537649,1,8,5.622928474,0,0,E1 Q1,UG,E1
67,Q1,40,4,318.6190807,1,9,4.108631574,0,0,E1 Q1,UG,E1
70,Q1,41,4,405.0849064,1,10,0.889984735,0,0,E1 Q1,UG,E1
77,Q1,45,4,324.6171046,1,14,2.505830035,0,0,E1 Q1,UG,E1
85,Q1,46,4,132.4472605,1,15,2.691154234,0,0,E1 Q1,UG,E1
90,Q1,49,4,29.93262212,1,18,17.05448238,0,0,E1 Q1,UG,E1
98,Q1,50,4,33.98783693,1,19,12.6820394,0,0,E1 Q1,UG,E1
105,Q1,51,4,25.6663713,1,20,15.39097381,0,0,E1 Q1,UG,E1
108,Q1,54,4,69.58100723,1,23,13.0641652,0,0,E1 Q1,UG,E1
111,Q1,55,4,45.4634387,1,24,11.34355895,0,0,E1 Q1,UG,E1
1,Q1,32,5,81.55941632,1,1,-1.95E-08,0,0,E1 Q1,UG,E1
12,Q1,33,5,97.67854983,1,2,9.17E-09,0,0,E1 Q1,UG,E1
18,Q1,34,5,35.63158355,1,3,0.126283955,0,0,E1 Q1,UG,E1
21,Q1,35,5,129.142221,1,4,0.13938941,0,0,E1 Q1,UG,E1
40,Q1,36,5,140.3489309,1,5,0.158175336,0,0,E1 Q1,UG,E1
42,Q1,37,5,149.2039631,1,6,0.114279266,0,0,E1 Q1,UG,E1
53,Q1,38,5,222.7644417,1,7,0.040042535,0,0,E1 Q1,UG,E1
60,Q1,39,5,228.9996254,1,8,0.195235491,0,0,E1 Q1,UG,E1
63,Q1,40,5,189.7189649,1,9,0.056375346,0,0,E1 Q1,UG,E1
69,Q1,41,5,174.541829,1,10,0.085925363,0,0,E1 Q1,UG,E1
79,Q1,45,5,179.4379322,1,14,0.192694091,0,0,E1 Q1,UG,E1
81,Q1,46,5,111.1118757,1,15,0.855607371,0,0,E1 Q1,UG,E1
92,Q1,49,5,86.86148963,1,18,1.97E-08,0,0,E1 Q1,UG,E1
96,Q1,50,5,47.5450352,1,19,2.29E-08,0,0,E1 Q1,UG,E1
102,Q1,51,5,32.84253093,1,20,0.206876135,0,0,E1 Q1,UG,E1
9,Q1,33,6,134.9227374,1,1,11.67812301,0,0,E1 Q1,UG,E1
16,Q1,34,6,39.95758545,1,2,20.56658862,0,0,E1 Q1,UG,E1
27,Q1,35,6,79.88755973,1,3,17.54832303,0,0,E1 Q1,UG,E1
38,Q1,36,6,89.32299194,1,4,12.54221753,0,0,E1 Q1,UG,E1
47,Q1,37,6,188.8669991,1,5,6.854438635,0,0,E1 Q1,UG,E1
49,Q1,38,6,189.228045,1,6,4.894639391,0,0,E1 Q1,UG,E1
58,Q1,39,6,68.80022463,0,7,-2.16E-09,0,0,E1 Q1,UG,E1
64,Q1,40,6,0.910141774,0,8,25.24867147,0,0,E1 Q1,UG,E1
6,Q1,33,7,21.36948194,1,1,5.851367513,0,0,E1 Q1,UG,E1
14,Q1,34,7,53.49403716,1,2,0.281508174,0,0,E1 Q1,UG,E1
28,Q1,35,7,145.3577505,1,3,5.79831131,0,0,E1 Q1,UG,E1
37,Q1,36,7,86.6712114,1,4,5.930048803,0,0,E1 Q1,UG,E1
45,Q1,37,7,172.0283149,1,5,5.37299565,0,0,E1 Q1,UG,E1
51,Q1,38,7,224.7752384,1,6,1.47E-08,0,0,E1 Q1,UG,E1
61,Q1,39,7,230.1078356,1,7,0.259426909,0,0,E1 Q1,UG,E1
66,Q1,40,7,212.9235185,1,8,0.061673004,0,0,E1 Q1,UG,E1
71,Q1,41,7,186.8428105,1,9,0.220142548,0,0,E1 Q1,UG,E1
80,Q1,45,7,207.7260076,1,13,4.098419882,0,0,E1 Q1,UG,E1
83,Q1,46,7,179.6520479,1,14,4.632709702,0,0,E1 Q1,UG,E1
88,Q1,49,7,306.1258401,1,17,-2.20E-08,0,0,E1 Q1,UG,E1
97,Q1,50,7,182.6050728,1,18,-6.37E-09,0,0,E1 Q1,UG,E1
103,Q1,51,7,122.3332007,1,19,0.392893289,0,0,E1 Q1,UG,E1
110,Q1,54,7,91.56795814,1,22,0.036855802,0,0,E1 Q1,UG,E1
113,Q1,55,7,210.5236322,1,23,0.0340363,0,0,E1 Q1,UG,E1
11,Q1,33,8,9.596924537,0,1,9.17E-09,1,0,E1 Q1,UG,E1
15,Q1,34,9,55.46462314,1,1,1.40E-08,0,0,E1 Q1,UG,E1
20,Q1,35,9,109.4022564,1,2,-9.78E-09,0,0,E1 Q1,UG,E1
34,Q1,36,9,23.31318772,1,3,1.42600662,0,0,E1 Q1,UG,E1
43,Q1,37,9,23.91582625,0,4,2.010634745,0,0,E1 Q1,UG,E1
23,Q1,35,10,17.69346562,1,1,0.005379252,1,0,E1 Q1,UG,E1
54,Q1,38,10,29.44766706,0,4,-2.12E-08,1,0,E1 Q1,UG,E1
25,Q1,35,11,10.99469563,1,1,-7.08E-09,0,0,E1 Q1,UG,E1
39,Q1,36,11,27.60757935,0,2,-3.40E-09,1,0,E1 Q1,UG,E1
33,Q1,35,12,0.25,0,1,7.518525351,0,1,E1 Q1,UG,E1
26,Q1,35,13,0.25,0,1,0.699594095,1,1,E1 Q1,UG,E1
24,Q1,35,14,0.25,0,1,36.68304803,0,1,E1 Q1,UG,E1
22,Q1,35,15,0.25,0,1,39.99425585,0,1,E1 Q1,UG,E1
32,Q1,35,16,0.25,0,1,4.628309724,0,1,E1 Q1,UG,E1
76,Q1,45,21,0.25,0,1,42.15398007,0,1,E1 Q1,UG,E1
78,Q1,45,22,0.25,0,1,1.78064644,1,1,E1 Q1,UG,E1
74,Q1,45,23,0.25,1,1,7.976587852,0,0,E1 Q1,UG,E1
84,Q1,46,23,0.958234341,1,2,6.317598019,0,0,E1 Q1,UG,E1
95,Q1,50,23,3.607091344,1,6,7.016714433,0,0,E1 Q1,UG,E1
106,Q1,51,23,4.217840207,1,7,6.033284733,0,0,E1 Q1,UG,E1
109,Q1,54,23,51.17797086,1,10,-1.20E-08,0,0,E1 Q1,UG,E1
114,Q1,55,23,42.97447126,1,11,7.17917065,0,0,E1 Q1,UG,E1
86,Q1,46,24,0.25,0,1,18.96674177,0,1,E1 Q1,UG,E1
91,Q1,49,25,1.37057861,0,1,36.65746053,0,0,E1 Q1,UG,E1
93,Q1,50,26,58.11580941,1,1,-1.80E-08,0,0,E1 Q1,UG,E1
100,Q1,51,26,30.7117206,0,2,-2.11E-08,0,0,E1 Q1,UG,E1
94,Q1,50,27,14.79885998,1,1,1.13E-08,0,0,E1 Q1,UG,E1
101,Q1,51,27,15.98349039,1,2,1.17E-08,1,0,E1 Q1,UG,E1
116,Q10,30,6,86.31221572,1,1,27.0552332,0,0,P1 E1 Q4,UG,P1E1
117,Q10,31,6,193.5821559,1,2,27.43899099,0,0,P1 E1 Q4,UG,P1E1
118,Q10,32,6,208.6057046,1,3,21.40395973,0,0,P1 E1 Q4,UG,P1E1
119,Q10,33,6,295.137001,1,4,18.7080785,0,0,P1 E1 Q4,UG,P1E1
121,Q10,34,6,166.1090483,1,5,24.408941,0,0,P1 E1 Q4,UG,P1E1
126,Q10,35,6,260.6166643,1,6,21.1755863,0,0,P1 E1 Q4,UG,P1E1
132,Q10,36,6,319.0675325,1,7,19.23466675,0,0,P1 E1 Q4,UG,P1E1
140,Q10,37,6,379.4415016,1,8,19.3357777,0,0,P1 E1 Q4,UG,P1E1
141,Q10,38,6,389.0535016,1,9,18.09076834,0,0,P1 E1 Q4,UG,P1E1
149,Q10,39,6,366.0778578,1,10,17.90888549,0,0,P1 E1 Q4,UG,P1E1
156,Q10,40,6,426.5780746,1,11,13.32640193,0,0,P1 E1 Q4,UG,P1E1
159,Q10,41,6,513.7907811,1,12,5.0040941,0,0,P1 E1 Q4,UG,P1E1
164,Q10,45,6,1173.97364,0,16,0.178630041,0,0,P1 E1 Q4,UG,P1E1
115,Q10,30,7,0.25,0,1,11.13795973,0,1,P1 E1 Q4,UG,P1E1
120,Q10,34,8,0.25,1,1,4.859642536,0,0,P1 E1 Q4,UG,P1E1
135,Q10,36,8,12.28094232,1,3,2.87682925,0,0,P1 E1 Q4,UG,P1E1
139,Q10,37,8,19.66159276,1,4,2.4121316,0,0,P1 E1 Q4,UG,P1E1
143,Q10,38,8,32.78821088,1,5,0.877358156,0,0,P1 E1 Q4,UG,P1E1
150,Q10,39,8,20.20236645,1,6,1.980705058,0,0,P1 E1 Q4,UG,P1E1
154,Q10,40,8,22.89594833,1,7,2.924719101,0,0,P1 E1 Q4,UG,P1E1
161,Q10,41,8,24.52787384,1,8,0.502579265,0,0,P1 E1 Q4,UG,P1E1
163,Q10,45,8,10.89193955,0,12,-2.58E-08,0,0,P1 E1 Q4,UG,P1E1
122,Q10,34,9,0.25,0,1,4.897178474,0,0,P1 E1 Q4,UG,P1E1
131,Q10,35,10,0.25,0,1,7.103260507,0,1,P1 E1 Q4,UG,P1E1
124,Q10,35,11,0.25,0,1,16.66029489,0,1,P1 E1 Q4,UG,P1E1
130,Q10,35,12,0.25,0,1,9.71591676,0,1,P1 E1 Q4,UG,P1E1
125,Q10,35,13,0.25,0,1,28.21359021,0,1,P1 E1 Q4,UG,P1E1
128,Q10,35,14,0.25,0,1,12.14314176,0,1,P1 E1 Q4,UG,P1E1
123,Q10,35,15,0.25,0,1,21.06592146,0,0,P1 E1 Q4,UG,P1E1
129,Q10,35,16,0.25,0,1,18.55775817,0,0,P1 E1 Q4,UG,P1E1
127,Q10,35,17,0.25,0,1,2.231165971,1,1,P1 E1 Q4,UG,P1E1
133,Q10,36,18,0.600557263,1,1,1.55E-08,1,0,P1 E1 Q4,UG,P1E1
147,Q10,38,18,25.0348933,1,3,5.59E-09,1,0,P1 E1 Q4,UG,P1E1
152,Q10,39,18,20.4183193,1,4,-1.22E-08,1,0,P1 E1 Q4,UG,P1E1
157,Q10,40,18,5.536759281,1,5,-8.22E-09,1,0,P1 E1 Q4,UG,P1E1
158,Q10,41,18,15.90261218,0,6,0,0,0,P1 E1 Q4,UG,P1E1
134,Q10,36,19,0.25,1,1,10.24009957,0,1,P1 E1 Q4,UG,P1E1
