"quad","year","SP_ID","x","y","GenID"
"Q1",2012,106,43.7561131043,34.876683923,1
"Q1",2012,108,13.924393454,48.3729111163,2
"Q19",2007,27,95.3177029879,76.4831050972,1
"Q19",2007,28,47.8856473518,84.7022234651,2
"Q19",2007,29,42.4325678558,83.0305782315,2
"Q19",2007,30,59.6179259294,12.1740450468,3
"Q19",2007,31,3.3820088467,93.8114992054,4
"Q19",2007,32,2.1950046375,82.5770683315,4
"Q19",2007,33,4.6655401348,68.5747418348,4
"Q2",2007,18,13.9101186491,7.6527749295,1
"Q2",2007,19,47.7419866386,17.9335429467,2
"Q2",2007,20,31.8777447667,2.0066705205,3
"Q2",2007,22,54.7953331785,20.8412267646,4
"Q2",2007,24,62.3049411998,2.6785706455,5
"Q2",2007,25,72.5865796179,3.9732995556,6
"Q2",2007,26,89.8356865098,4.9725909344,7
"Q2",2007,27,58.8932599064,77.7205604781,8
"Q20",2007,61,35.1495708913,69.4990417581,1
"Q20",2007,62,75.6054441801,74.8616477514,2
"Q23",2007,34,1.4367055623,73.1708440488,1
"Q23",2007,35,6.0761263293,57.1778448497,1
"Q24",2007,36,0.9399579102,73.0014633962,1
"Q24",2007,37,1.4408649213,35.7671738893,1
"Q24",2007,39,82.5644036458,81.3702246718,2
"Q24",2007,40,71.8488059111,49.846390638,3
"Q24",2007,41,93.0553790478,26.7676944135,4
"Q25",2007,5,6.8435187459,37.4586256259,1
"Q25",2007,8,55.6276204936,1.3330178875,2
"Q25",2007,9,54.6728826847,25.8683113791,3
"Q26",2007,23,97.0798544234,62.822376465,1
"Q26",2007,24,38.0823256335,51.2798369281,2
"Q26",2007,25,40.299793373,4.5142756557,3
"Q3",2007,17,42.4733866637,82.0525871189,1
"Q3",2007,18,35.1305760661,88.4595844644,2
"Q3",2007,21,72.974607532,20.8736819899,3
"Q3",2007,22,44.342638314,10.2610861152,3
"Q3",2007,23,14.2621395845,47.4316636443,3
"Q3",2007,24,79.2556943452,80.676248728,4
"Q31",2011,12,9.650836262,19.5027738975,1
"Q31",2011,13,2.0867553117,32.3499008623,1
"Q31",2011,16,90.006589531,32.1709899187,2
"Q31",2011,17,82.5259642924,51.8980326003,3
"Q31",2011,18,66.8563891476,82.8194082136,4
"Q31",2011,19,78.5909158767,88.2763692182,5
"Q32",2011,25,13.7445359488,71.0074892901,1
"Q32",2011,30,67.6804998247,42.9480506956,2
"Q33",2011,57,84.886791705,76.9613842611,1
"Q33",2011,59,44.5977169466,74.8669525281,2
"Q33",2011,60,53.4392188857,41.1339836511,3
"Q39",2011,68,63.1546516389,49.5791817921,1
"Q4",2007,27,45.9840253859,66.1842121313,1
"Q4",2007,28,67.7629604397,14.3892829315,2
"Q4",2007,29,95.5394123837,8.3564005815,3
"Q4",2007,30,98.5277114081,80.9955624633,4
"Q40",2011,28,46.038582282,41.236768708,1
"Q40",2011,36,8.423861482,3.0801690586,2
"Q41",2011,12,9.6114572377,61.8791442711,1
"Q41",2011,13,1.0586794151,1.1514362323,2
"Q41",2011,14,20.7105368864,3.3781657911,3
"Q41",2011,15,28.6787353342,11.8670161366,3
"Q43",2011,50,7.0953682773,93.7227336989,1
"Q44",2011,53,93.6082335307,5.4979300623,1
"Q45",2011,33,66.8388225514,75.8467706589,1
"Q46",2011,14,20.9319969988,13.7965467059,1
"Q47",2011,55,74.6383335213,83.3756880043,1
"Q47",2011,56,93.8418917692,85.0823940989,2
"Q47",2011,66,20.5073392757,20.2112270125,3
"Q47",2011,68,48.4041553991,52.3111932081,4
"Q47",2011,69,21.8409296061,48.8414303255,5
"Q47",2011,70,28.7018173314,95.1505201863,6
"Q47",2011,71,8.0396211621,78.5930754553,6
"Q47",2011,72,26.4638495231,69.7698500433,7
"Q47",2011,74,57.3582572176,97.2190704298,8
"Q48",2011,58,88.1820241382,79.3679155184,1
"Q49",2011,27,37.836411374,10.8999842413,1
"Q49",2011,28,52.2129911008,36.9608766989,1
"Q49",2011,29,82.94692916,17.9653461448,1
"Q50",2011,21,73.048449198,35.18194799,1
"Q51",2011,44,46.0417540844,54.8322639389,1
"Q52",2011,54,38.9148459018,36.0012355963,1
"Q52",2011,56,9.3227981919,77.0912311509,2
"Q52",2011,60,84.8791189404,43.0011748655,3
"Q53",2011,29,24.1984082972,78.4952622917,1
"Q54",2011,54,90.6790825846,80.1015247382,1
"Q54",2011,58,54.8108338707,62.2241791485,1
"Q54",2011,59,79.5573956919,46.9324525477,1
"Q55",2011,31,15.5082511179,56.7118575452,1
"Q56",2011,7,14.8545013258,36.490825559,1
"Q56",2011,9,24.3175480232,64.8646985864,2
"Q57",2011,12,76.3794240922,78.050419106,1
"Q57",2011,14,57.1887735409,3.0728329445,2
"Q58",2011,44,26.9475029095,7.9309801667,1
"Q58",2011,49,81.6899338271,50.4300514324,2
"Q58",2011,51,50.63269047,97.984942449,3
"Q58",2011,53,61.4394870963,41.7415593526,4
"Q58",2011,54,50.9404200743,46.4402852191,5
"Q59",2011,17,15.8368659609,23.5180784845,1
"Q60",2011,18,52.4998773257,77.4949029136,1
"Q60",2011,19,82.3129181267,93.8098915083,2
"Q61",2011,28,56.6536727235,22.7601261412,1
"Q61",2011,29,48.628293281,74.6031448999,2
"Q62",2011,40,21.957408236,79.2990070335,1
