"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","seedling","QuadName","Grazing","paddock","Group","Treatment"
"1","Q1",2011,2,0.25,1,1,13.6743934539821,0,1,"E1 Q1","UG",NA,"E1","Control"
"2","Q1",2011,1,0.25,1,1,34.6266839229588,0,0,"E1 Q1","UG",NA,"E1","Control"
"3","Q19",2011,6,0.25,0,1,44.3368369278103,0,1,"P7 E1 Q1","UG",NA,"P7E1","Control"
"4","Q19",2015,7,0.25,0,1,8.15222925813405,0,1,"P7 E1 Q1","UG",NA,"P7E1","Control"
"5","Q20",2008,6,66.194954989933,0,1,0,0,0,"P7 E1 Q2","UG",NA,"P7E1","Control"
"6","Q20",2008,7,15.9988988201955,0,1,0.00830799999999954,1,0,"P7 E1 Q2","UG",NA,"P7E1","Control"
"7","Q20",2015,8,0.25,0,1,8.22170582069872,0,1,"P7 E1 Q2","UG",NA,"P7E1","Control"
"8","Q21",2012,1,0.249999999999986,0,1,14.4081355139603,0,0,"P7 E1 Q3","UG",NA,"P7E1","Control"
"9","Q21",2013,2,3.31130455557349,1,1,0,1,0,"P7 E1 Q3","UG",NA,"P7E1","Control"
"10","Q22",2015,2,0.249999999999986,0,1,3.94988628547037,1,1,"P7 E1 Q4","UG",NA,"P7E1","Control"
"11","Q22",2015,3,0.249999999999996,0,1,27.0785089632606,0,1,"P7 E1 Q4","UG",NA,"P7E1","Control"
"12","Q22",2015,1,0.249999999999986,0,1,1.96550737737221,1,1,"P7 E1 Q4","UG",NA,"P7E1","Control"
"13","Q23",2007,3,5.5973771161295,0,1,0.705482,1,0,"P10 E1 Q1","UG",NA,"P10E1","Control"
"14","Q23",2007,2,8.22989832001801,1,1,0,1,0,"P10 E1 Q1","UG",NA,"P10E1","Control"
"15","Q23",2015,4,0.249999999999986,0,1,2.96724487830518,1,1,"P10 E1 Q1","UG",NA,"P10E1","Control"
"16","Q24",2011,6,227.299654516185,0,1,0,0,0,"P10 E1 Q2","UG",NA,"P10E1","Control"
"17","Q24",2013,7,29.695842971226,1,1,0,0,0,"P10 E1 Q2","UG",NA,"P10E1","Control"
"18","Q24",2014,8,19.3481172002455,1,1,0,1,0,"P10 E1 Q2","UG",NA,"P10E1","Control"
"19","Q25",2009,4,0.25,0,1,21.7676239094311,0,1,"P10 E1 Q3","UG",NA,"P10E1","Control"
"20","Q25",2009,5,0.25,0,1,9.38008369042751,0,1,"P10 E1 Q3","UG",NA,"P10E1","Control"
"21","Q25",2010,6,2.144639283304,0,1,0,1,0,"P10 E1 Q3","UG",NA,"P10E1","Control"
"22","Q25",2012,7,248.011258900688,0,1,0,0,0,"P10 E1 Q3","UG",NA,"P10E1","Control"
"23","Q26",2007,4,0.25,0,1,7.56073552203286,0,0,"P10 E1 Q4","UG",NA,"P10E1","Control"
"24","Q26",2010,5,0.25,1,1,14.9020966329425,0,1,"P10 E1 Q4","UG",NA,"P10E1","Control"
"25","Q31",2011,7,14.151797127499,1,1,16.648089,0,0,"X5","UG",NA,"E1","Drought"
"26","Q31",2015,14,0.25,0,1,17.0973306000233,0,1,"X5","UG",NA,"E1","Drought"
"27","Q31",2015,17,0.25,0,1,36.7426828891039,0,1,"X5","UG",NA,"E1","Drought"
"28","Q31",2015,13,0.25,0,1,15.4436820596457,0,1,"X5","UG",NA,"E1","Drought"
"29","Q31",2015,19,0.25,0,1,16.137640312314,0,1,"X5","UG",NA,"E1","Drought"
"30","Q31",2015,15,0.25,0,1,34.5598654299974,0,1,"X5","UG",NA,"E1","Drought"
"31","Q31",2015,12,0.25,0,1,26.1524764299393,0,1,"X5","UG",NA,"E1","Drought"
"32","Q31",2015,11,0.25,0,1,2.76061719655991,1,1,"X5","UG",NA,"E1","Drought"
