quad,year,SP_ID,x,y,GenID
Q1,2007,3,17.2863965429,76.0455588758,1
Q1,2007,4,35.2088683517,69.0911911508,2
Q1,2007,5,42.6908610929,99.5550651833,3
Q1,2007,6,77.6059507067,80.7473663741,4
Q1,2007,7,61.2671868443,79.9796056011,5
Q1,2007,10,49.1999691903,93.9128243456,6
Q1,2007,11,12.6673072797,35.1272732303,7
Q1,2007,12,31.942046568,23.3864809198,8
Q1,2007,13,85.783599039,29.2915290358,9
Q1,2007,20,96.7633304168,83.9292382649,10
Q1,2007,31,62.1710754102,55.1704247361,11
Q1,2007,33,72.0135957104,70.410455207,12
Q1,2007,34,65.9810831392,72.5271263158,13
Q1,2007,35,20.2609917265,93.4821677128,14
Q19,2007,0,88.1836539924,43.5137356946,15
Q19,2007,1,97.8242857306,76.342438279,16
Q19,2007,2,87.0704149881,22.7899174478,17
Q19,2007,3,67.4980042033,41.5133323355,18
Q19,2007,4,68.9622401227,63.4913468351,19
Q19,2007,5,73.6260761958,84.9878392102,20
Q19,2007,6,54.4917366785,97.0053965866,21
Q19,2007,7,44.3964662983,60.9336935479,22
Q19,2007,8,55.8965613325,29.8587049989,23
Q19,2007,9,64.3418539662,20.1727955101,24
Q19,2007,10,30.1469929499,92.985143666,25
Q19,2007,11,24.5011487236,72.1384163371,26
Q19,2007,12,24.878661793,39.5600059441,27
Q19,2007,13,28.116475617,12.0748928602,28
Q19,2007,14,3.1410807636,73.0542238416,29
Q19,2007,41,96.1318864621,43.7184246966,30
Q2,2009,113,12.743832204,99.4581066906,31
Q2,2009,114,10.6920042118,99.6290918747,32
Q20,2007,5,19.0847890628,80.3097609917,33
Q20,2007,6,3.6730376763,85.6579589308,34
Q20,2007,8,13.2168123085,65.3454294875,35
Q20,2007,10,28.5013129782,77.2326366048,36
Q20,2007,13,48.1766864473,66.7267940567,37
Q20,2007,14,54.4186663399,79.805313078,38
Q20,2007,15,60.4188448198,67.8213881192,39
Q20,2007,16,66.8519239108,96.2821453766,40
Q20,2007,17,86.1113917095,97.3634502841,41
