"quad","year","SP_ID","ObjectID","species","seedling","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"Q1",2007,"3",4,"Hesperostipa comata","N",88.603540428986,17.2863965798908,76.0455589564765,1,1,0,1,9.976675,0
"Q1",2007,"4",5,"Hesperostipa comata","N",71.2004459356535,35.2088683960808,69.0911911340352,1,1,0,2,26.664872,0
"Q1",2007,"5",6,"Hesperostipa comata","N",5.26566289459102,42.6908604333853,99.5550651551921,1,1,0,3,0.0105709999999988,1
"Q1",2007,"6",7,"Hesperostipa comata","N",46.9213788125795,77.6059507021366,80.7473664183836,1,1,0,4,15.203855,0
"Q1",2007,"7",8,"Hesperostipa comata","N",34.071388135426,61.2671869674516,79.9796055681196,1,1,0,5,16.626876,0
"Q1",2007,"10",11,"Hesperostipa comata","N",3.70208512689951,49.1999691737879,93.9128242930629,1,1,0,6,4.86688100000001,0
"Q1",2007,"11",12,"Hesperostipa comata","N",39.1033447411465,12.6673073869469,35.1272732370566,1,1,0,7,8.122304,0
"Q1",2007,"12",13,"Hesperostipa comata","N",35.12896492002,31.9420464590489,23.3864808783242,1,1,0,8,20.020319,0
"Q1",2007,"13",14,"Hesperostipa comata","N",61.4296069686395,85.7835990171841,29.2915291704825,1,1,0,9,10.332015,0
"Q1",2007,"20",21,"Hesperostipa comata","N",68.1480695544245,96.7462888759549,83.9242974927012,1,1,0,10,0,0
"Q1",2007,"31",32,"Hesperostipa comata","N",0.25,62.171075,55.170425,1,1,0,11,37.578925,0
"Q1",2007,"33",34,"Hesperostipa comata","N",0.25,72.013596,70.410455,1,1,0,12,27.736404,0
"Q1",2007,"34",35,"Hesperostipa comata","N",0.25,65.981083,72.527126,1,1,0,13,27.222874,0
"Q1",2007,"35",36,"Hesperostipa comata","N",0.25,20.260992,93.482168,1,1,0,14,6.267832,0
"Q1",2008,"0",1,"Hesperostipa comata","N",34.213243315175,62.3075612871881,78.129546153698,2,1,0,5,18.198439,0
"Q1",2008,"9",10,"Hesperostipa comata","N",6.46704387601951,10.2086308540589,96.1848336760303,1,0,0,1,1.49237599999999,0
"Q1",2008,"10",11,"Hesperostipa comata","N",4.53444584468052,19.2007477432193,91.9964588551337,2,1,0,14,6.85900699999999,0
"Q1",2008,"11",12,"Hesperostipa comata","N",12.294050074607,46.4878234238759,99.2125239996533,2,0,0,3,0,1
"Q1",2008,"12",13,"Hesperostipa comata","N",4.1001038295385,52.2754357600059,91.5959405833857,2,1,0,6,7.20661,0
