"ARTR","HECO","POSE","PSSP","midRings"
1,1,1,1,1
1,0.4419,0.3782,0.08528,3
0.0395,0.18325,0.131,0.08528,5
0.02827,0.0713,0.04126,0.04889,7
0.02827,0.02612,0.01183,0.0092,9
0.00584,0.0091,0.00311,0.0092,11
0.00136,0.00305,0.00076,0.00465,13
0.00136,0.001,0.00017,0.00065,15
0.00136,0.00032,4e-05,0.00065,17
0.00136,1e-04,1e-05,0.00065,19
0.00136,1e-05,0,0.00065,22.5
0.00032,0,0,0.00065,27.5
0.00032,0,0,0.00065,32.5
0.00032,0,0,0,37.5
0.00032,0,0,0,42.5
0.00032,0,0,0,47.5
0.00032,0,0,0,55
0,0,0,0,65
0,0,0,0,75
0,0,0,0,85
0,0,0,0,95
0,0,0,0,105
0,0,0,0,115
0,0,0,0,125
0,0,0,0,135
0,0,0,0,145
