"quad","year","SP_ID","x","y","GenID"
"Q1",2007,0,8.4461626711,94.7550199737,1
"Q1",2007,1,26.2976316676,90.7713913851,2
"Q1",2007,2,13.9989132008,78.6623688399,3
"Q1",2007,14,18.4794908328,4.7634484276,4
"Q1",2007,15,65.3113058242,36.3436594845,5
"Q1",2007,16,86.7789850201,6.0805853021,6
"Q1",2007,19,98.9951162859,32.6107085652,7
"Q1",2007,24,72.7544300646,1.6186512885,8
"Q1",2007,25,37.9351940615,2.0419853323,9
"Q1",2007,26,12.6409767135,10.2970018559,10
"Q1",2007,27,62.9119106542,16.1178465154,11
"Q1",2007,28,56.0327299954,21.8328583313,12
"Q1",2007,29,67.5685864708,27.5478692573,13
"Q1",2007,30,10.4184723161,48.6087448326,14
"Q19",2007,15,71.9027734065,91.9821845446,1
"Q19",2007,16,57.8580001845,90.8488248084,2
"Q19",2007,17,97.0059943258,13.9462469188,3
"Q19",2007,18,74.8275816901,23.2633192154,4
"Q19",2007,19,56.2021129988,47.8188877031,5
"Q19",2007,20,60.8182125403,25.9928956337,6
"Q19",2007,21,54.5142039181,13.5388800874,7
"Q19",2007,22,61.8399759716,9.9501627823,8
"Q19",2007,23,39.7145354897,17.1271473245,9
"Q19",2007,24,38.1617461232,23.8343006881,10
"Q19",2007,25,18.2186830009,49.8511795182,11
"Q19",2007,34,67.907539663,12.523093977,12
"Q19",2007,35,60.182980758,20.4457176165,13
"Q19",2007,36,52.7555214018,29.0615707188,14
"Q19",2007,37,49.4874392673,30.844161338,15
"Q19",2007,38,61.7675057528,35.5977354328,16
"Q19",2007,39,50.7748651582,37.380326052,17
"Q19",2007,40,61.8665387875,41.7377693429,18
"Q19",2007,43,44.5357995482,84.5199370852,19
"Q2",2007,0,22.1326864892,89.7284303951,1
"Q2",2007,1,53.5546890076,76.5102470921,2
"Q2",2007,5,24.6876464205,60.7803818659,3
"Q2",2007,6,33.6845756146,56.0791939637,4
"Q2",2007,7,52.6178075443,55.5119107499,5
"Q2",2007,8,53.012644207,64.9496826151,6
"Q2",2007,13,68.5967904278,43.002328649,7
"Q2",2007,14,98.367291054,47.2652796486,8
"Q2",2007,30,6.1005901243,4.294513677,9
"Q2",2007,52,89.8490309201,46.7280505043,10
"Q2",2007,54,55.6439191501,56.8144104484,11
"Q2",2007,59,69.2114893886,74.3770635266,12
"Q2",2007,67,0.4120376316,79.6347685048,13
"Q2",2007,75,20.9172869964,95.1790707368,14
"Q2",2007,76,11.9875815346,98.0233472056,15
"Q20",2007,0,8.6986799948,98.6081757749,1
"Q20",2007,3,29.0412597321,84.976993696,2
"Q20",2007,18,96.1557947103,95.7512723809,3
"Q20",2007,29,91.2662747736,79.8029369451,4
"Q20",2007,41,50.5739145583,43.1443235862,5
"Q20",2007,42,43.0590693778,36.8899269131,6
"Q20",2007,46,32.7944729317,25.450413844,7
"Q20",2007,48,21.8353664761,16.9247659523,8
"Q20",2007,50,31.2442628066,20.3083175017,9
"Q20",2007,52,38.0510814601,17.0092638409,10
"Q20",2007,56,85.5194175107,22.7261904234,11
"Q20",2007,64,17.8142603413,5.1341333482,12
"Q20",2007,65,20.7051246,9.2372950194,13
"Q20",2007,67,0.1824662861,20.6497489559,14
"Q20",2007,70,38.9084644572,43.0306332662,15
"Q20",2007,71,2.7260356157,56.8321786873,16
