"quad","year","SP_ID","ObjectID","species","seedling","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"Q1",2007,"0",1,"Pseudoroegneria spicata","N",170.180804534591,8.46770665715681,94.7199902284543,1,1,0,1,0,0
"Q1",2007,"1",2,"Pseudoroegneria spicata","N",26.9677134134685,26.2976315515419,90.7713914219855,1,1,0,2,5.03089199999999,0
"Q1",2007,"2",3,"Pseudoroegneria spicata","N",4.074755326941,13.9989133958499,78.6623689394103,1,0,0,3,12.561257,0
"Q1",2007,"14",15,"Pseudoroegneria spicata","N",57.580312744695,18.4794909702553,4.76344848121501,1,1,0,4,1.402817,0
"Q1",2007,"15",16,"Pseudoroegneria spicata","N",19.7233033386635,65.3113058722161,36.3436594427512,1,1,0,5,32.103197,0
"Q1",2007,"16",17,"Pseudoroegneria spicata","N",28.6379368372655,86.7789850677336,6.08058540466698,1,1,0,6,1.959452,0
"Q1",2007,"19",20,"Pseudoroegneria spicata","N",5.1023532479965,98.9447896341732,32.6267255549525,1,1,0,7,0,1
"Q1",2007,"24",25,"Pseudoroegneria spicata","N",0.25,72.75443,1.618651,1,1,0,8,1.368651,1
"Q1",2007,"25",26,"Pseudoroegneria spicata","N",0.25,37.935194,2.041985,1,1,0,9,1.791985,1
"Q1",2007,"26",27,"Pseudoroegneria spicata","N",0.25,12.640977,10.297002,1,0,0,10,10.047002,0
"Q1",2007,"27",28,"Pseudoroegneria spicata","N",0.25,62.911911,16.117847,1,1,0,11,15.867847,0
"Q1",2007,"28",29,"Pseudoroegneria spicata","N",0.25,56.03273,21.832858,1,1,0,12,21.582858,0
"Q1",2007,"29",30,"Pseudoroegneria spicata","N",0.25,67.568586,27.547869,1,0,0,13,27.297869,0
"Q1",2007,"30",31,"Pseudoroegneria spicata","N",0.25,10.418472,48.608745,1,0,0,14,10.168472,0
"Q1",2008,"3",4,"Pseudoroegneria spicata","N",30.494800879209,19.3255747379812,81.7436059952977,2,1,0,2,14.731963,0
"Q1",2008,"4",5,"Pseudoroegneria spicata","N",3.54978148282899,25.8310773036231,88.3675619118867,2,1,0,2,9.660408,0
"Q1",2008,"5",6,"Pseudoroegneria spicata","N",36.604168662923,3.48506938445461,94.1147459395909,2,1,0,1,0.810159,0
"Q1",2008,"6",7,"Pseudoroegneria spicata","N",6.4964137874585,11.6567973455665,85.3512513493435,2,1,0,1,9.997401,0
"Q1",2008,"27",28,"Pseudoroegneria spicata","N",4.30755032694247,99.3281339501518,31.0177788206797,2,1,0,7,0,1
"Q1",2008,"28",29,"Pseudoroegneria spicata","N",6.699740706614,63.3529939545773,15.8434667050118,2,0,0,11,14.323064,0
"Q1",2008,"29",30,"Pseudoroegneria spicata","N",23.4275871000755,19.4601727286848,3.64367059720118,2,1,0,4,0,0
"Q1",2008,"31",32,"Pseudoroegneria spicata","N",19.4956422692455,87.9189012269081,6.02301574159271,2,1,0,6,3.262739,0
"Q1",2008,"38",39,"Pseudoroegneria spicata","N",0.25,36.048019,0.266863,2,1,0,9,0.016863,1
"Q1",2008,"39",40,"Pseudoroegneria spicata","N",0.25,71.889195,1.089938,2,1,0,8,0.839938,1
"Q1",2008,"40",41,"Pseudoroegneria spicata","N",0.25,56.583072,5.923432,1,1,0,15,5.673432,0
"Q1",2008,"43",44,"Pseudoroegneria spicata","N",0.25,16.518693,13.436064,2,1,0,4,13.186064,0
"Q1",2008,"44",45,"Pseudoroegneria spicata","N",0.25,19.661343,14.109489,1,1,0,16,13.859489,0
"Q1",2008,"47",48,"Pseudoroegneria spicata","N",0.25,56.40042,21.442338,2,1,0,12,21.192338,0
"Q1",2008,"49",50,"Pseudoroegneria spicata","N",0.25,56.325595,23.612264,2,1,0,12,23.362264,0
"Q1",2008,"52",53,"Pseudoroegneria spicata","N",0.25,59.617895,32.516439,2,1,0,5,32.266439,0
"Q1",2008,"61",62,"Pseudoroegneria spicata","N",0.25,23.028468,52.71919,1,1,0,17,22.778468,0
