"","quad","year","NRquad","totParea","recArea","QuadName","Grazing","paddock","Group","Treatment"
"1","Q1",2007,4,314.017179443621,0.0127381565782077,"E1 Q1","UG",NA,"E1","Control"
"2","Q1",2008,2,133.575685215297,0.0149727848805447,"E1 Q1","UG",NA,"E1","Control"
"3","Q1",2009,0,280.152112545702,0,"E1 Q1","UG",NA,"E1","Control"
"4","Q1",2010,3,286.802881912684,0.0104601459371435,"E1 Q1","UG",NA,"E1","Control"
"5","Q1",2011,1,136.383914777507,0.00733224296744505,"E1 Q1","UG",NA,"E1","Control"
"6","Q1",2012,5,144.732874081772,0.0345464016500845,"E1 Q1","UG",NA,"E1","Control"
"7","Q1",2013,4,196.778258273455,0.0203274489524211,"E1 Q1","UG",NA,"E1","Control"
"8","Q1",2014,0,126.130998664409,0,"E1 Q1","UG",NA,"E1","Control"
"9","Q1",2015,4,121.288418171222,0.0329792412194974,"E1 Q1","UG",NA,"E1","Control"
"10","Q19",2007,1,316.476754259258,0.0031597897366604,"P7 E1 Q1","UG",NA,"P7E1","Control"
"11","Q19",2008,1,230.094999660365,0.00434603099361595,"P7 E1 Q1","UG",NA,"P7E1","Control"
"12","Q19",2009,3,216.474300359915,0.013858458001768,"P7 E1 Q1","UG",NA,"P7E1","Control"
"13","Q19",2010,1,176.948858643873,0.00565135038261307,"P7 E1 Q1","UG",NA,"P7E1","Control"
"14","Q19",2011,1,228.372466228657,0.00437881158142223,"P7 E1 Q1","UG",NA,"P7E1","Control"
"15","Q19",2012,2,126.582244191964,0.0158000042799603,"P7 E1 Q1","UG",NA,"P7E1","Control"
"16","Q19",2013,4,141.524875949835,0.0282635824490519,"P7 E1 Q1","UG",NA,"P7E1","Control"
"17","Q19",2014,4,311.517764623825,0.0128403592162079,"P7 E1 Q1","UG",NA,"P7E1","Control"
"18","Q19",2015,1,125.829392468369,0.00794726876116309,"P7 E1 Q1","UG",NA,"P7E1","Control"
"19","Q2",2007,4,343.769127467879,0.0116357161838907,"E1 Q2","UG",NA,"E1","Control"
"20","Q2",2008,7,83.23804909807,0.0840961564554774,"E1 Q2","UG",NA,"E1","Control"
"21","Q2",2009,4,113.800073347248,0.0351493622310281,"E1 Q2","UG",NA,"E1","Control"
"22","Q2",2010,6,64.0974313478336,0.0936074952432987,"E1 Q2","UG",NA,"E1","Control"
"23","Q2",2011,3,42.393637329102,0.0707653362392802,"E1 Q2","UG",NA,"E1","Control"
"24","Q2",2012,2,60.206393804151,0.0332190631863108,"E1 Q2","UG",NA,"E1","Control"
"25","Q2",2013,2,155.575401400829,0.0128555027465244,"E1 Q2","UG",NA,"E1","Control"
"26","Q2",2014,3,154.011985425988,0.0194790034795161,"E1 Q2","UG",NA,"E1","Control"
"27","Q2",2015,4,41.161111540262,0.0971791054789027,"E1 Q2","UG",NA,"E1","Control"
"28","Q20",2007,0,119.084015755358,0,"P7 E1 Q2","UG",NA,"P7E1","Control"
"29","Q20",2008,2,191.249471650932,0.0104575452299831,"P7 E1 Q2","UG",NA,"P7E1","Control"
"30","Q20",2009,0,125.638527392585,0,"P7 E1 Q2","UG",NA,"P7E1","Control"
"31","Q20",2010,1,108.547323098245,0.00921257172869119,"P7 E1 Q2","UG",NA,"P7E1","Control"
"32","Q20",2011,1,78.4330760899475,0.0127497230741428,"P7 E1 Q2","UG",NA,"P7E1","Control"
"33","Q20",2012,1,75.5941847699775,0.0132285307797532,"P7 E1 Q2","UG",NA,"P7E1","Control"
"34","Q20",2013,3,112.961336009783,0.0265577595482774,"P7 E1 Q2","UG",NA,"P7E1","Control"
"35","Q20",2014,8,102.35612032959,0.0781584918834335,"P7 E1 Q2","UG",NA,"P7E1","Control"
"36","Q20",2015,7,30.084378936096,0.232678893417382,"P7 E1 Q2","UG",NA,"P7E1","Control"
"37","Q21",2007,4,87.5468194330765,0.0456898380306977,"P7 E1 Q3","UG",NA,"P7E1","Control"
"38","Q21",2008,2,40.5051599832045,0.0493764251475442,"P7 E1 Q3","UG",NA,"P7E1","Control"
"39","Q21",2009,2,23.8879913831575,0.0837240757467001,"P7 E1 Q3","UG",NA,"P7E1","Control"
"40","Q21",2010,5,7.97808002236344,0.626717203385332,"P7 E1 Q3","UG",NA,"P7E1","Control"
"41","Q21",2011,6,1.25,4.8,"P7 E1 Q3","UG",NA,"P7E1","Control"
"42","Q21",2012,4,4.17145270889399,0.958898561038835,"P7 E1 Q3","UG",NA,"P7E1","Control"
"43","Q21",2013,0,6.66162353162001,0,"P7 E1 Q3","UG",NA,"P7E1","Control"
"44","Q22",2007,2,347.165721464279,0.0057609374323144,"P7 E1 Q4","UG",NA,"P7E1","Control"
"45","Q22",2008,5,303.18927945217,0.0164913482727175,"P7 E1 Q4","UG",NA,"P7E1","Control"
"46","Q22",2009,0,318.872658456883,0,"P7 E1 Q4","UG",NA,"P7E1","Control"
"47","Q22",2010,0,299.948759259479,0,"P7 E1 Q4","UG",NA,"P7E1","Control"
"48","Q22",2011,4,290.476911272406,0.0137704576328576,"P7 E1 Q4","UG",NA,"P7E1","Control"
"49","Q22",2012,0,194.048468133137,0,"P7 E1 Q4","UG",NA,"P7E1","Control"
"50","Q22",2013,0,269.861775812203,0,"P7 E1 Q4","UG",NA,"P7E1","Control"
"51","Q22",2014,0,406.749283168331,0,"P7 E1 Q4","UG",NA,"P7E1","Control"
"52","Q22",2015,1,108.661482945246,0.00920289299294664,"P7 E1 Q4","UG",NA,"P7E1","Control"
"53","Q23",2007,1,244.286298110347,0.00409355746816503,"P10 E1 Q1","UG",NA,"P10E1","Control"
"54","Q23",2008,2,273.613760331647,0.00730957389561036,"P10 E1 Q1","UG",NA,"P10E1","Control"
"55","Q23",2009,1,197.621389170603,0.00506018100670632,"P10 E1 Q1","UG",NA,"P10E1","Control"
"56","Q23",2010,2,179.273079898848,0.0111561646686076,"P10 E1 Q1","UG",NA,"P10E1","Control"
"57","Q23",2011,0,184.266132717715,0,"P10 E1 Q1","UG",NA,"P10E1","Control"
"58","Q23",2012,1,234.89525814685,0.00425721663301873,"P10 E1 Q1","UG",NA,"P10E1","Control"
"59","Q23",2013,2,149.471202045523,0.0133805038872363,"P10 E1 Q1","UG",NA,"P10E1","Control"
"60","Q23",2014,1,329.8309905701,0.00303185579460419,"P10 E1 Q1","UG",NA,"P10E1","Control"
"61","Q23",2015,3,85.5579132244835,0.0350639688012109,"P10 E1 Q1","UG",NA,"P10E1","Control"
"62","Q24",2007,7,194.905126496989,0.0359149096065882,"P10 E1 Q2","UG",NA,"P10E1","Control"
"63","Q24",2008,1,174.358602635426,0.00573530634499831,"P10 E1 Q2","UG",NA,"P10E1","Control"
"64","Q24",2009,5,224.15220517797,0.0223062717408029,"P10 E1 Q2","UG",NA,"P10E1","Control"
"65","Q24",2010,1,179.379706561122,0.00557476661753407,"P10 E1 Q2","UG",NA,"P10E1","Control"
"66","Q24",2011,0,59.296994708904,0,"P10 E1 Q2","UG",NA,"P10E1","Control"
"67","Q24",2012,2,39.0372348300375,0.0512331369961963,"P10 E1 Q2","UG",NA,"P10E1","Control"
"68","Q24",2013,2,87.294211960953,0.0229110264595161,"P10 E1 Q2","UG",NA,"P10E1","Control"
"69","Q24",2014,0,140.706400538221,0,"P10 E1 Q2","UG",NA,"P10E1","Control"
"70","Q24",2015,9,53.9451307637185,0.166836188411894,"P10 E1 Q2","UG",NA,"P10E1","Control"
"71","Q25",2007,0,53.743093363697,0,"P10 E1 Q3","UG",NA,"P10E1","Control"
"72","Q25",2008,3,23.703657890785,0.126562744611931,"P10 E1 Q3","UG",NA,"P10E1","Control"
"73","Q25",2009,0,16.0907007857626,0,"P10 E1 Q3","UG",NA,"P10E1","Control"
"74","Q25",2010,0,10.836998406489,0,"P10 E1 Q3","UG",NA,"P10E1","Control"
"75","Q25",2011,2,30.0957367371945,0.0664545951296901,"P10 E1 Q3","UG",NA,"P10E1","Control"
"76","Q25",2012,0,21.013131767731,0,"P10 E1 Q3","UG",NA,"P10E1","Control"
"77","Q25",2013,0,62.613702184421,0,"P10 E1 Q3","UG",NA,"P10E1","Control"
"78","Q25",2014,2,76.5636059882035,0.0261220716316333,"P10 E1 Q3","UG",NA,"P10E1","Control"
"79","Q25",2015,32,62.3795790045645,0.512988393167233,"P10 E1 Q3","UG",NA,"P10E1","Control"
"80","Q26",2007,4,396.336852675634,0.0100924251000036,"P10 E1 Q4","UG",NA,"P10E1","Control"
"81","Q26",2008,5,259.11823540172,0.0192962104432686,"P10 E1 Q4","UG",NA,"P10E1","Control"
"82","Q26",2009,2,263.62361618072,0.00758657372573538,"P10 E1 Q4","UG",NA,"P10E1","Control"
"83","Q26",2010,2,303.756970933077,0.00658421103507988,"P10 E1 Q4","UG",NA,"P10E1","Control"
"84","Q26",2011,11,218.039106567053,0.050449665535651,"P10 E1 Q4","UG",NA,"P10E1","Control"
"85","Q26",2012,1,185.354708017922,0.00539506123525768,"P10 E1 Q4","UG",NA,"P10E1","Control"
"86","Q26",2013,4,345.915419701752,0.0115635203641653,"P10 E1 Q4","UG",NA,"P10E1","Control"
"87","Q26",2014,6,377.097512022318,0.0159110039411899,"P10 E1 Q4","UG",NA,"P10E1","Control"
"88","Q26",2015,4,379.554437490724,0.0105386727301739,"P10 E1 Q4","UG",NA,"P10E1","Control"
"89","Q27",2011,7,237.461062000572,0.0294785171978349,"X1","UG",NA,"E1","Irrigation"
"90","Q27",2012,0,213.981048242769,0,"X1","UG",NA,"E1","Irrigation"
"91","Q27",2013,1,324.849106083859,0.00307835232196038,"X1","UG",NA,"E1","Irrigation"
"92","Q27",2014,1,221.858858911718,0.00450737015824066,"X1","UG",NA,"E1","Irrigation"
"93","Q27",2015,5,211.196163760344,0.0236746724513129,"X1","UG",NA,"E1","Irrigation"
"94","Q28",2011,10,492.009705372916,0.0203248023175083,"X2","UG",NA,"E1","Drought"
"95","Q28",2012,3,249.799753491401,0.012009619537528,"X2","UG",NA,"E1","Drought"
"96","Q28",2013,3,384.0532417236,0.00781141694452633,"X2","UG",NA,"E1","Drought"
"97","Q28",2014,2,498.077437115823,0.00401543987132049,"X2","UG",NA,"E1","Drought"
"98","Q28",2015,3,154.170045325112,0.0194590330026409,"X2","UG",NA,"E1","Drought"
"99","Q3",2007,2,347.833557175817,0.00574987651058943,"E1 Q3","UG",NA,"E1","Control"
"100","Q3",2008,6,273.585947464858,0.0219309509702456,"E1 Q3","UG",NA,"E1","Control"
"101","Q3",2009,5,354.992755108696,0.0140847944867749,"E1 Q3","UG",NA,"E1","Control"
"102","Q3",2010,4,252.927022400582,0.0158148384543304,"E1 Q3","UG",NA,"E1","Control"
"103","Q3",2011,2,179.728316066345,0.0111279070753755,"E1 Q3","UG",NA,"E1","Control"
"104","Q3",2012,3,102.26519398574,0.0293354941508088,"E1 Q3","UG",NA,"E1","Control"
"105","Q3",2013,9,188.226439917734,0.0478147491071579,"E1 Q3","UG",NA,"E1","Control"
"106","Q3",2014,4,221.755362329604,0.0180378952643077,"E1 Q3","UG",NA,"E1","Control"
"107","Q3",2015,2,148.189888493249,0.0134961974824019,"E1 Q3","UG",NA,"E1","Control"
"108","Q31",2011,0,90.8824158870355,0,"X5","UG",NA,"E1","Drought"
"109","Q31",2012,0,87.6021127407265,0,"X5","UG",NA,"E1","Drought"
"110","Q31",2013,8,266.496028836539,0.0300192090476026,"X5","UG",NA,"E1","Drought"
