Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
05/13/14 04:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
05/13/14 08:00 PM	-32.6	* * * 	* * * 	* * * 	* * * 
05/14/14 12:00 AM	17.0	0.051	0.099	0.113	0.017
05/14/14 04:00 AM	11.0	0.047	0.093	0.116	0.017
05/14/14 08:00 AM	5.1	0.048	0.089	0.116	0.016
05/14/14 12:00 PM	2.7	0.048	0.086	0.116	0.016
05/14/14 04:00 PM	8.7	0.048	0.085	0.113	0.016
05/14/14 08:00 PM	18.3	0.047	0.090	0.113	0.017
05/15/14 12:00 AM	21.6	0.043	0.095	0.117	0.018
05/15/14 04:00 AM	15.0	0.038	0.092	0.119	0.019
05/15/14 08:00 AM	6.2	0.038	0.085	0.119	0.017
05/15/14 12:00 PM	5.7	0.038	0.085	0.119	0.017
05/15/14 04:00 PM	12.3	0.038	0.085	0.119	0.017
05/15/14 08:00 PM	21.7	0.038	0.088	0.117	0.018
05/16/14 12:00 AM	24.5	0.032	0.092	0.119	0.021
05/16/14 04:00 AM	17.1	0.026	0.086	0.119	0.020
05/16/14 08:00 AM	10.2	0.026	0.082	0.119	0.020
05/16/14 12:00 PM	10.1	0.027	0.078	0.119	0.018
05/16/14 04:00 PM	11.3	0.027	0.078	0.119	0.017
05/16/14 08:00 PM	19.2	0.025	0.079	0.118	0.018
05/17/14 12:00 AM	18.9	0.024	0.083	0.118	0.020
05/17/14 04:00 AM	10.8	0.021	0.079	0.119	0.019
05/17/14 08:00 AM	6.4	0.022	0.076	0.119	0.017
05/17/14 12:00 PM	4.3	0.024	0.075	0.118	0.017
05/17/14 04:00 PM	11.3	0.024	0.075	0.116	0.017
05/17/14 08:00 PM	20.9	0.024	0.079	0.117	0.017
05/18/14 12:00 AM	23.7	0.020	0.083	0.117	0.019
05/18/14 04:00 AM	18.0	0.015	0.078	0.119	0.020
05/18/14 08:00 AM	8.1	0.014	0.073	0.119	0.020
05/18/14 12:00 PM	6.0	0.014	0.072	0.118	0.020
05/18/14 04:00 PM	10.5	0.015	0.072	0.116	0.021
