date,plot,m,water,T1,T2,T3,T4,wet_weight,dry_weight,bag_weight
05-07-2015,1,6,1,,,,,,,
05-07-2015,2,9,0,,,,,,,
05-07-2015,3,12,0,,,,,,,
05-07-2015,4,15,1,,,,,,,
05-07-2015,5,18,0,,,,,,,
05-07-2015,6,21,0,,,,,,,
05-07-2015,7,24,1,,,,,,,
05-07-2015,8,27,0,,,,,,,
05-07-2015,9,30,1,,,,,,,
05-07-2015,10,33,0,,,,,,,
05-07-2015,11,36,0,,,,,,,
05-07-2015,12,39,0,,,,,,,
05-07-2015,13,42,0,,,,,,,
05-07-2015,14,45,1,,,,,,,
05-07-2015,15,48,0,,,,,,,
05-07-2015,16,51,0,,,,,,,
05-07-2015,17,54,0,,,,,,,
05-07-2015,18,57,1,,,,,,,
05-07-2015,19,60,0,,,,,,,
05-07-2015,20,63,0,,,,,,,
05-07-2015,21,66,1,,,,,,,
05-07-2015,22,69,1,,,,,,,
05-07-2015,23,72,0,,,,,,,
05-07-2015,24,75,0,,,,,,,
05-07-2015,25,78,0,,,,,,,
05-07-2015,26,81,1,,,,,,,
05-07-2015,27,84,1,,,,,,,
05-07-2015,28,87,0,,,,,,,
05-07-2015,29,90,0,,,,,,,
05-07-2015,30,93,0,,,,,,,
