"species","Group","Treatment","quad","year","cover"
"Artemisia tripartita","E1","Control","Q1",2007,0
"Hesperostipa comata","E1","Control","Q1",2007,4.54574488
"Poa secunda","E1","Control","Q1",2007,0.58762963
"Pseudoroegneria spicata","E1","Control","Q1",2007,3.14017179
"Artemisia tripartita","P7E1","Control","Q19",2007,7.05279303
"Hesperostipa comata","P7E1","Control","Q19",2007,8.5220504
"Poa secunda","P7E1","Control","Q19",2007,0.0025
"Pseudoroegneria spicata","P7E1","Control","Q19",2007,3.16476755
"Artemisia tripartita","E1","Control","Q2",2007,37.18513551
"Hesperostipa comata","E1","Control","Q2",2007,0
"Poa secunda","E1","Control","Q2",2007,2.59628161
"Pseudoroegneria spicata","E1","Control","Q2",2007,3.43769126
"Artemisia tripartita","P7E1","Control","Q20",2007,8.78838072
"Hesperostipa comata","P7E1","Control","Q20",2007,5.49484455
"Poa secunda","P7E1","Control","Q20",2007,0.47710933
"Pseudoroegneria spicata","P7E1","Control","Q20",2007,1.190840165
"Artemisia tripartita","P7E1","Control","Q21",2007,0
"Hesperostipa comata","P7E1","Control","Q21",2007,1.35863167
"Poa secunda","P7E1","Control","Q21",2007,0.84461839
"Pseudoroegneria spicata","P7E1","Control","Q21",2007,0.8754682
"Artemisia tripartita","P7E1","Control","Q22",2007,0
"Hesperostipa comata","P7E1","Control","Q22",2007,4.7869503
"Poa secunda","P7E1","Control","Q22",2007,3.56222681
"Pseudoroegneria spicata","P7E1","Control","Q22",2007,3.47165721
"Artemisia tripartita","P10E1","Control","Q23",2007,0.55805962
"Hesperostipa comata","P10E1","Control","Q23",2007,1.43706575
"Poa secunda","P10E1","Control","Q23",2007,1.70317806
"Pseudoroegneria spicata","P10E1","Control","Q23",2007,2.44286298
"Artemisia tripartita","P10E1","Control","Q24",2007,5.81212425
"Hesperostipa comata","P10E1","Control","Q24",2007,0.37830527
"Poa secunda","P10E1","Control","Q24",2007,0.81426909
"Pseudoroegneria spicata","P10E1","Control","Q24",2007,1.94905125
"Artemisia tripartita","P10E1","Control","Q25",2007,34.75547787
"Hesperostipa comata","P10E1","Control","Q25",2007,0
"Poa secunda","P10E1","Control","Q25",2007,0
"Pseudoroegneria spicata","P10E1","Control","Q25",2007,0.53743093
"Artemisia tripartita","P10E1","Control","Q26",2007,21.81947901
"Hesperostipa comata","P10E1","Control","Q26",2007,0
"Poa secunda","P10E1","Control","Q26",2007,0.90721591
"Pseudoroegneria spicata","P10E1","Control","Q26",2007,3.963368545
"Artemisia tripartita","E1","Control","Q3",2007,47.22793114
"Hesperostipa comata","E1","Control","Q3",2007,0
"Poa secunda","E1","Control","Q3",2007,0.62495424
"Pseudoroegneria spicata","E1","Control","Q3",2007,3.47833558
"Artemisia tripartita","E1","Control","Q4",2007,25.03552213
"Hesperostipa comata","E1","Control","Q4",2007,0.63927177
"Poa secunda","E1","Control","Q4",2007,1.91098307
"Pseudoroegneria spicata","E1","Control","Q4",2007,5.64593681
"Artemisia tripartita","E1","Control","Q5",2007,0
"Hesperostipa comata","E1","Control","Q5",2007,0.1738802
"Poa secunda","E1","Control","Q5",2007,0.18372444
"Pseudoroegneria spicata","E1","Control","Q5",2007,2.55347638
"Artemisia tripartita","E1","Control","Q6",2007,0
"Hesperostipa comata","E1","Control","Q6",2007,0
"Poa secunda","E1","Control","Q6",2007,1.35364515
"Pseudoroegneria spicata","E1","Control","Q6",2007,1.57988119
"Artemisia tripartita","E1","Control","Q1",2008,0
"Hesperostipa comata","E1","Control","Q1",2008,3.7779159756786
"Poa secunda","E1","Control","Q1",2008,0.44618081
"Pseudoroegneria spicata","E1","Control","Q1",2008,1.33575685
"Artemisia tripartita","P7E1","Control","Q19",2008,8.60737005
"Hesperostipa comata","P7E1","Control","Q19",2008,6.1004679
"Poa secunda","P7E1","Control","Q19",2008,0.14546584
"Pseudoroegneria spicata","P7E1","Control","Q19",2008,2.30094999
"Artemisia tripartita","E1","Control","Q2",2008,48.75909087
"Hesperostipa comata","E1","Control","Q2",2008,0
"Poa secunda","E1","Control","Q2",2008,3.05140809
"Pseudoroegneria spicata","E1","Control","Q2",2008,0.83238049
"Artemisia tripartita","P7E1","Control","Q20",2008,10.05772327
"Hesperostipa comata","P7E1","Control","Q20",2008,3.9380974370776
"Poa secunda","P7E1","Control","Q20",2008,0.5043539287918
"Pseudoroegneria spicata","P7E1","Control","Q20",2008,1.719999739274
"Artemisia tripartita","P7E1","Control","Q21",2008,0
"Hesperostipa comata","P7E1","Control","Q21",2008,0.949633096955
"Poa secunda","P7E1","Control","Q21",2008,1.0755172205888
"Pseudoroegneria spicata","P7E1","Control","Q21",2008,0.4050516
"Artemisia tripartita","P7E1","Control","Q22",2008,0
"Hesperostipa comata","P7E1","Control","Q22",2008,3.7547715055185
"Poa secunda","P7E1","Control","Q22",2008,1.5605556362782
"Pseudoroegneria spicata","P7E1","Control","Q22",2008,3.0318928
"Artemisia tripartita","P10E1","Control","Q23",2008,0.56749008
