1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 270000003444F121
Is Mission Active?  true
Mission Start:  Tue Mar 31 16:55:00 MDT 2015
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  2618
Total Samples:  3715
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
3/31/15 4:55:00 PM,C,27.5
3/31/15 6:55:00 PM,C,25
3/31/15 8:55:00 PM,C,24.5
3/31/15 10:55:00 PM,C,21.5
4/1/15 12:55:00 AM,C,18.5
4/1/15 2:55:00 AM,C,15
4/1/15 4:55:00 AM,C,11.5
4/1/15 6:55:00 AM,C,9
4/1/15 8:55:00 AM,C,13
4/1/15 10:55:00 AM,C,17.5
4/1/15 12:55:00 PM,C,14
4/1/15 2:55:00 PM,C,14.5
4/1/15 4:55:00 PM,C,15.5
4/1/15 6:55:00 PM,C,8.5
4/1/15 8:55:00 PM,C,8.5
4/1/15 10:55:00 PM,C,5
4/2/15 12:55:00 AM,C,2
4/2/15 2:55:00 AM,C,-0.5
4/2/15 4:55:00 AM,C,-2
4/2/15 6:55:00 AM,C,-3.5
4/2/15 8:55:00 AM,C,3.5
4/2/15 10:55:00 AM,C,14.5
4/2/15 12:55:00 PM,C,20
4/2/15 2:55:00 PM,C,19
4/2/15 4:55:00 PM,C,7
4/2/15 6:55:00 PM,C,2.5
4/2/15 8:55:00 PM,C,-2
4/2/15 10:55:00 PM,C,-6
4/3/15 12:55:00 AM,C,-6.5
4/3/15 2:55:00 AM,C,-9
4/3/15 4:55:00 AM,C,-9
4/3/15 6:55:00 AM,C,-10.5
4/3/15 8:55:00 AM,C,0.5
4/3/15 10:55:00 AM,C,5.5
4/3/15 12:55:00 PM,C,9
4/3/15 2:55:00 PM,C,11.5
4/3/15 4:55:00 PM,C,12
4/3/15 6:55:00 PM,C,7.5
4/3/15 8:55:00 PM,C,-1.5
4/3/15 10:55:00 PM,C,-2.5
4/4/15 12:55:00 AM,C,-5
4/4/15 2:55:00 AM,C,-5
4/4/15 4:55:00 AM,C,-3.5
4/4/15 6:55:00 AM,C,-2
4/4/15 8:55:00 AM,C,2.5
4/4/15 10:55:00 AM,C,9.5
4/4/15 12:55:00 PM,C,9.5
4/4/15 2:55:00 PM,C,11
4/4/15 4:55:00 PM,C,11
4/4/15 6:55:00 PM,C,10.5
4/4/15 8:55:00 PM,C,1.5
4/4/15 10:55:00 PM,C,3
4/5/15 12:55:00 AM,C,2
4/5/15 2:55:00 AM,C,2.5
4/5/15 4:55:00 AM,C,2
4/5/15 6:55:00 AM,C,1.5
4/5/15 8:55:00 AM,C,5.5
4/5/15 10:55:00 AM,C,9.5
4/5/15 12:55:00 PM,C,10
4/5/15 2:55:00 PM,C,13
4/5/15 4:55:00 PM,C,13
4/5/15 6:55:00 PM,C,9
4/5/15 8:55:00 PM,C,2
4/5/15 10:55:00 PM,C,2.5
4/6/15 12:55:00 AM,C,2
4/6/15 2:55:00 AM,C,4
4/6/15 4:55:00 AM,C,3
4/6/15 6:55:00 AM,C,1.5
4/6/15 8:55:00 AM,C,2.5
4/6/15 10:55:00 AM,C,4
4/6/15 12:55:00 PM,C,5.5
4/6/15 2:55:00 PM,C,5
4/6/15 4:55:00 PM,C,9.5
4/6/15 6:55:00 PM,C,8
4/6/15 8:55:00 PM,C,-2
4/6/15 10:55:00 PM,C,-4.5
4/7/15 12:55:00 AM,C,-5
4/7/15 2:55:00 AM,C,-6.5
4/7/15 4:55:00 AM,C,-7
4/7/15 6:55:00 AM,C,-7
4/7/15 8:55:00 AM,C,2
4/7/15 10:55:00 AM,C,10
4/7/15 12:55:00 PM,C,13
4/7/15 2:55:00 PM,C,12
4/7/15 4:55:00 PM,C,7.5
4/7/15 6:55:00 PM,C,5.5
4/7/15 8:55:00 PM,C,3
4/7/15 10:55:00 PM,C,1
4/8/15 12:55:00 AM,C,-2.5
4/8/15 2:55:00 AM,C,-3
4/8/15 4:55:00 AM,C,-0.5
4/8/15 6:55:00 AM,C,0.5
4/8/15 8:55:00 AM,C,4
