1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0400000027C56E21
Is Mission Active?  true
Mission Start:  Sun Nov 01 16:32:00 PST 2015
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  2313
Total Samples:  66636
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun May 15 00:00:00 PDT 2016
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/1/15 4:32:00 PM,C,27
11/1/15 6:32:00 PM,C,23
11/1/15 8:32:00 PM,C,17.5
11/1/15 10:32:00 PM,C,14.5
11/2/15 12:32:00 AM,C,12.5
11/2/15 2:32:00 AM,C,11
11/2/15 4:32:00 AM,C,10
11/2/15 6:32:00 AM,C,9
11/2/15 8:32:00 AM,C,12
11/2/15 10:32:00 AM,C,17
11/2/15 12:32:00 PM,C,15.5
11/2/15 2:32:00 PM,C,14.5
11/2/15 4:32:00 PM,C,11.5
11/2/15 6:32:00 PM,C,12
11/2/15 8:32:00 PM,C,9.5
11/2/15 10:32:00 PM,C,6.5
11/3/15 12:32:00 AM,C,5
11/3/15 2:32:00 AM,C,3.5
11/3/15 4:32:00 AM,C,3
11/3/15 6:32:00 AM,C,2.5
11/3/15 8:32:00 AM,C,5.5
11/3/15 10:32:00 AM,C,7
11/3/15 12:32:00 PM,C,9.5
11/3/15 2:32:00 PM,C,10.5
11/3/15 4:32:00 PM,C,13
11/3/15 6:32:00 PM,C,18
11/3/15 8:32:00 PM,C,18
11/3/15 10:32:00 PM,C,18
11/4/15 12:32:00 AM,C,18
11/4/15 2:32:00 AM,C,18
11/4/15 4:32:00 AM,C,18
11/4/15 6:32:00 AM,C,18
11/4/15 8:32:00 AM,C,10
11/4/15 10:32:00 AM,C,1.5
11/4/15 12:32:00 PM,C,1
11/4/15 2:32:00 PM,C,0.5
11/4/15 4:32:00 PM,C,0
11/4/15 6:32:00 PM,C,-1
11/4/15 8:32:00 PM,C,-1.5
11/4/15 10:32:00 PM,C,-1
11/5/15 12:32:00 AM,C,-1.5
11/5/15 2:32:00 AM,C,-2
11/5/15 4:32:00 AM,C,-2
11/5/15 6:32:00 AM,C,-2.5
11/5/15 8:32:00 AM,C,-2
11/5/15 10:32:00 AM,C,-2
11/5/15 12:32:00 PM,C,-0.5
11/5/15 2:32:00 PM,C,0.5
11/5/15 4:32:00 PM,C,-1
11/5/15 6:32:00 PM,C,-1.5
11/5/15 8:32:00 PM,C,-2.5
11/5/15 10:32:00 PM,C,-2.5
11/6/15 12:32:00 AM,C,-3.5
11/6/15 2:32:00 AM,C,-7
11/6/15 4:32:00 AM,C,-7.5
11/6/15 6:32:00 AM,C,-7.5
11/6/15 8:32:00 AM,C,-1
11/6/15 10:32:00 AM,C,1.5
11/6/15 12:32:00 PM,C,4
11/6/15 2:32:00 PM,C,6.5
11/6/15 4:32:00 PM,C,4
11/6/15 6:32:00 PM,C,-5
11/6/15 8:32:00 PM,C,-6.5
11/6/15 10:32:00 PM,C,-6.5
11/7/15 12:32:00 AM,C,-7.5
11/7/15 2:32:00 AM,C,-7.5
11/7/15 4:32:00 AM,C,-7.5
11/7/15 6:32:00 AM,C,-7
11/7/15 8:32:00 AM,C,-2.5
11/7/15 10:32:00 AM,C,-1
11/7/15 12:32:00 PM,C,2.5
11/7/15 2:32:00 PM,C,3.5
11/7/15 4:32:00 PM,C,6
11/7/15 6:32:00 PM,C,-4
11/7/15 8:32:00 PM,C,-4
11/7/15 10:32:00 PM,C,-4
11/8/15 12:32:00 AM,C,-5.5
11/8/15 2:32:00 AM,C,-6
11/8/15 4:32:00 AM,C,-5.5
11/8/15 6:32:00 AM,C,-5.5
11/8/15 8:32:00 AM,C,0.5
11/8/15 10:32:00 AM,C,6.5
11/8/15 12:32:00 PM,C,8.5
11/8/15 2:32:00 PM,C,10
11/8/15 4:32:00 PM,C,9
11/8/15 6:32:00 PM,C,-2
11/8/15 8:32:00 PM,C,-3
11/8/15 10:32:00 PM,C,-2
11/9/15 12:32:00 AM,C,-2
11/9/15 2:32:00 AM,C,-2.5
11/9/15 4:32:00 AM,C,-0.5
11/9/15 6:32:00 AM,C,-1.5
11/9/15 8:32:00 AM,C,2.5
11/9/15 10:32:00 AM,C,4.5
11/9/15 12:32:00 PM,C,4.5
11/9/15 2:32:00 PM,C,6.5
11/9/15 4:32:00 PM,C,3.5
11/9/15 6:32:00 PM,C,0.5
11/9/15 8:32:00 PM,C,-0.5
11/9/15 10:32:00 PM,C,-0.5
11/10/15 12:32:00 AM,C,-1
11/10/15 2:32:00 AM,C,-1.5
11/10/15 4:32:00 AM,C,-2
11/10/15 6:32:00 AM,C,-2
11/10/15 8:32:00 AM,C,-1.5
11/10/15 10:32:00 AM,C,0
11/10/15 12:32:00 PM,C,0
11/10/15 2:32:00 PM,C,7.5
11/10/15 4:32:00 PM,C,0.5
11/10/15 6:32:00 PM,C,-3.5
11/10/15 8:32:00 PM,C,-5.5
11/10/15 10:32:00 PM,C,-6
11/11/15 12:32:00 AM,C,-6.5
11/11/15 2:32:00 AM,C,-7
11/11/15 4:32:00 AM,C,-9
11/11/15 6:32:00 AM,C,-9.5
11/11/15 8:32:00 AM,C,-6
11/11/15 10:32:00 AM,C,-3.5
11/11/15 12:32:00 PM,C,-2
11/11/15 2:32:00 PM,C,0
11/11/15 4:32:00 PM,C,-2.5
11/11/15 6:32:00 PM,C,-3.5
11/11/15 8:32:00 PM,C,-4
11/11/15 10:32:00 PM,C,-6.5
11/12/15 12:32:00 AM,C,-6.5
