1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: BB000000343FD021
Is Mission Active?  true
Mission Start:  Wed Nov 04 06:47:00 PST 2015
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  2281
Total Samples:  5838
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/4/15 6:47:00 AM,C,14.5
11/4/15 8:47:00 AM,C,4.5
11/4/15 10:47:00 AM,C,1.5
11/4/15 12:47:00 PM,C,1
11/4/15 2:47:00 PM,C,1
11/4/15 4:47:00 PM,C,-0.5
11/4/15 6:47:00 PM,C,-1
11/4/15 8:47:00 PM,C,-1
11/4/15 10:47:00 PM,C,-1
11/5/15 12:47:00 AM,C,-1.5
11/5/15 2:47:00 AM,C,-2
11/5/15 4:47:00 AM,C,-2
11/5/15 6:47:00 AM,C,-2.5
11/5/15 8:47:00 AM,C,-2
11/5/15 10:47:00 AM,C,-2
11/5/15 12:47:00 PM,C,0
11/5/15 2:47:00 PM,C,0.5
11/5/15 4:47:00 PM,C,-1
11/5/15 6:47:00 PM,C,-1.5
11/5/15 8:47:00 PM,C,-2
11/5/15 10:47:00 PM,C,-2.5
11/6/15 12:47:00 AM,C,-3.5
11/6/15 2:47:00 AM,C,-8
11/6/15 4:47:00 AM,C,-8
11/6/15 6:47:00 AM,C,-7.5
11/6/15 8:47:00 AM,C,-1
11/6/15 10:47:00 AM,C,2.5
11/6/15 12:47:00 PM,C,7.5
11/6/15 2:47:00 PM,C,9.5
11/6/15 4:47:00 PM,C,2.5
11/6/15 6:47:00 PM,C,-5.5
11/6/15 8:47:00 PM,C,-7
11/6/15 10:47:00 PM,C,-7.5
11/7/15 12:47:00 AM,C,-8
11/7/15 2:47:00 AM,C,-7.5
11/7/15 4:47:00 AM,C,-7.5
11/7/15 6:47:00 AM,C,-7
11/7/15 8:47:00 AM,C,-2
11/7/15 10:47:00 AM,C,-0.5
11/7/15 12:47:00 PM,C,3.5
11/7/15 2:47:00 PM,C,9.5
11/7/15 4:47:00 PM,C,3
11/7/15 6:47:00 PM,C,-4.5
11/7/15 8:47:00 PM,C,-4
11/7/15 10:47:00 PM,C,-5
11/8/15 12:47:00 AM,C,-6
11/8/15 2:47:00 AM,C,-6.5
11/8/15 4:47:00 AM,C,-6
11/8/15 6:47:00 AM,C,-5.5
11/8/15 8:47:00 AM,C,1
11/8/15 10:47:00 AM,C,7.5
11/8/15 12:47:00 PM,C,12.5
11/8/15 2:47:00 PM,C,13
11/8/15 4:47:00 PM,C,6.5
