"X","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","seedling","QuadName","Grazing","Group","logarea","species","W.ARTR","W.HECO","W.POSE","W.PSSP"
1,"Q1",32,5,81.55941632,1,1,-1.95e-08,0,0,"E1 Q1","UG","E1",4.40133178923141,"ARTR",0.0329116891570649,0,0.241082127026694,0.0277758425399778
2,"Q1",32,2,130.3759727,1,1,2.241887836,0,0,"E1 Q1","UG","E1",4.8704223740793,"ARTR",0.0294945302220994,0,0,0.02783628532257
3,"Q1",32,4,136.4095361,1,1,7.672801129,0,0,"E1 Q1","UG","E1",4.91566165572218,"ARTR",0.0290721807755512,0,0.222770132688438,0.0473515440173437
4,"Q1",32,1,47.16780136,1,1,7.2e-09,0,0,"E1 Q1","UG","E1",3.85371148522829,"ARTR",0.0353191022046314,0,0,0.0095630038026758
5,"Q1",32,3,156.213678,0,1,5.769712837,0,0,"E1 Q1","UG","E1",5.05122480079331,"ARTR",0.0276858908405593,0,0,0.0240658055376178
6,"Q1",33,7,21.36948194,1,1,5.851367513,0,0,"E1 Q1","UG","E1",3.06196382664132,"ARTR",0.620839970303714,0,0.0579109654960797,0.01841100008426
7,"Q1",33,1,61.68448252,1,2,-1.85e-08,0,0,"E1 Q1","UG","E1",4.12203240041472,"ARTR",0.165499510410195,0,0,0.00882202387626294
8,"Q1",33,2,242.7578249,1,2,2.506787059,0,0,"E1 Q1","UG","E1",5.49206434104945,"ARTR",0.106668492091977,0,0.0438346682373799,0.0382451658481862
9,"Q1",33,6,134.9227374,1,1,11.67812301,0,0,"E1 Q1","UG","E1",4.90470229904781,"ARTR",0.109703949341574,0,0,0.0449009522604147
10,"Q1",33,4,168.5161151,1,2,5.694694113,0,0,"E1 Q1","UG","E1",5.12703138379501,"ARTR",0.039760700082011,0.0512460165319074,0.0273842733353553,0.122764276814749
12,"Q1",33,5,97.67854983,1,2,9.17e-09,0,0,"E1 Q1","UG","E1",4.58168198356202,"ARTR",0.0831070276092842,0,0,0.0379531545143207
13,"Q1",34,4,96.16738293,1,3,6.973012084,0,0,"E1 Q1","UG","E1",4.56609024539789,"ARTR",0.0260518887196565,0.0283803928113659,0.00498146389416695,0.0337482230896419
14,"Q1",34,7,53.49403716,1,2,0.281508174,0,0,"E1 Q1","UG","E1",3.97957019273712,"ARTR",0.0290390229271293,0,0,0.0197203754982792
15,"Q1",34,9,55.46462314,1,1,1.4e-08,0,0,"E1 Q1","UG","E1",4.01574539661241,"ARTR",0.130282437064543,0,0.0257249880479144,0.0136081291975755
16,"Q1",34,6,39.95758545,1,2,20.56658862,0,0,"E1 Q1","UG","E1",3.68781852778056,"ARTR",0.262511218393695,0,0,0.020680613788342
17,"Q1",34,1,31.37225491,1,3,2.996504246,0,0,"E1 Q1","UG","E1",3.44592390071585,"ARTR",0.0313109203066664,0.0006325,0,0.00752875801844609
18,"Q1",34,5,35.63158355,1,3,0.126283955,0,0,"E1 Q1","UG","E1",3.57323242291865,"ARTR",0.0302893954492084,0,0,0.016333723455859
19,"Q1",34,2,156.2497546,1,3,5.359333965,0,0,"E1 Q1","UG","E1",5.05145571805528,"ARTR",0.0445135433547743,0,0.0202957165620435,0.016751642709004
