"X","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","seedling","QuadName","Grazing","Group","logarea","species","W.ARTR","W.HECO","W.POSE","W.PSSP"
1,"Q1",33,1,2.02436444686415,1,1,40.6481800457969,0,0,"E1 Q1","UG","E1",0.705255797895797,"HECO",0.513663567150332,0.313765665668706,0,0.0406448401541587
2,"Q1",33,3,16.9727161409373,1,1,18.9999238141884,0,0,"E1 Q1","UG","E1",2.83160712188573,"HECO",15.3468585140292,1.97546632705325e-09,0.0581144310023313,0.14815395943546
3,"Q1",33,2,2.34349907390919,1,1,39.5469964829189,0,0,"E1 Q1","UG","E1",0.851645143206315,"HECO",0.300428652734928,0.263794930920172,0,0.0406448401541588
4,"Q1",34,5,0.249999999999993,1,1,10.3587612914391,0,0,"E1 Q1","UG","E1",-1.38629436111992,"HECO",0.0980205896766011,6.99440505513849e-15,0,0.558400330461213
6,"Q1",34,3,7.21404809508134,1,2,17.3065292666596,0,0,"E1 Q1","UG","E1",1.9760302493681,"HECO",0.558442725792372,0,0.0468235691241074,0.0632264621317475
7,"Q1",34,2,1.66796310431191,1,2,40.15807695,0,0,"E1 Q1","UG","E1",0.51160318397483,"HECO",0.175256107852461,0.0822329341698937,0,0.0166580323473301
8,"Q1",34,6,0.25,1,1,28.3060995894039,0,0,"E1 Q1","UG","E1",-1.38629436111989,"HECO",0.0386275541653417,0,0.0392159164408305,0.0274897583042376
10,"Q1",34,7,0.25,1,1,4.9935823801924,0,0,"E1 Q1","UG","E1",-1.38629436111989,"HECO",0.388435844306083,2.5e-06,0,0.31759339070387
11,"Q1",34,1,0.631056205739294,1,2,42.16121755,0,0,"E1 Q1","UG","E1",-0.460360346336002,"HECO",0.276084042483439,0.217352272122886,0,0.0163380323473301
14,"Q1",35,2,4.07013172020914,1,3,39.3515800603754,0,0,"E1 Q1","UG","E1",1.40367536261856,"HECO",0.569815752909467,0.0473440378536376,0,0.0328630503957336
15,"Q1",35,9,0.370707558033952,0,1,41.3427487980989,0,0,"E1 Q1","UG","E1",-0.992341780487429,"HECO",0.40514023592348,2.23272070460472e-05,0.00611266676812268,0.0360177299778531
16,"Q1",35,10,0.25,1,1,7.7177800389795,0,0,"E1 Q1","UG","E1",-1.38629436111989,"HECO",2.54270216082303,0.00461750071390348,0.0308715436923477,0.0356362472707606
17,"Q1",35,5,0.249999999999986,0,2,10.6759800417346,0,0,"E1 Q1","UG","E1",-1.38629436111995,"HECO",0.322940986385994,1.3988810110277e-14,0,1.1888960242032
18,"Q1",35,3,7.58342870509629,1,3,16.3524534902858,0,0,"E1 Q1","UG","E1",2.02596543314598,"HECO",1.70798339621897,0.00037750023252501,0.087685090870566,0.0580845927676777
19,"Q1",35,1,0.363307745372052,0,3,41.3198917873723,0,0,"E1 Q1","UG","E1",-1.01250502048856,"HECO",0.803400425459599,0.604287093054964,0,0.0328214016933084
20,"Q1",36,25,0.24999999999999,1,1,7.6520050389182,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",0.301435002303048,0.0689310117211817,0,0.187538942967387
21,"Q1",36,16,0.24999999999999,0,1,8.28413863325682,0,0,"E1 Q1","UG","E1",-1.38629436111993,"HECO",15.0702194267055,0.360424275054563,0.0485939239178993,0.0278166174818332
22,"Q1",36,22,0.24999999999999,1,1,11.3157862923304,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",4.10061725685551,0.518432703393461,0,0.0340331230473862
23,"Q1",36,17,0.24999999999999,0,1,4.6580503486299,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",4.66111466764049,0.297325012175713,0,0.0224871451646867
25,"Q1",36,24,0.24999999999999,0,1,13.6558558257598,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",0.361153069840954,0.0449961062303278,0,1.14895742791385
26,"Q1",36,2,1.23758869149501,1,4,38.467219911367,0,0,"E1 Q1","UG","E1",0.213164882787502,"HECO",0.362308047653786,1.00520736074916e-10,0,0.0565985259215112
27,"Q1",36,13,0.61960947552563,1,1,9.9996191023968,0,0,"E1 Q1","UG","E1",-0.478665877584071,"HECO",27.1597953789896,0.171747180936603,0.103052509783804,0.0321537993846486
29,"Q1",36,27,0.24999999999999,1,1,11.2780933235453,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",0.211586334031369,0.0359808841286368,0,1.72336482873134
31,"Q1",36,28,0.25,0,1,31.6674089675342,0,1,"E1 Q1","UG","E1",-1.38629436111989,"HECO",0.0578410006826129,1.32709428974717e-05,0,0.0797046286926452
32,"Q1",36,18,0.24999999999999,0,1,8.1652503518962,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",5.73240082796367,0.524134279237123,0.000774479383047378,0.0272063254154227
33,"Q1",36,6,0.52825599250684,1,3,27.060769094936,0,0,"E1 Q1","UG","E1",-0.638174278476789,"HECO",0.237890449615411,0.000422502143631495,0.14810647231624,0.0662409220626764
34,"Q1",36,3,14.9325374930807,1,4,18.8710464784429,0,0,"E1 Q1","UG","E1",2.70354255645865,"HECO",6.73360549620285,0.000617097234734778,0.0119185388186419,0.0479997903074528
35,"Q1",36,31,0.25,0,1,6.3079769126664,0,1,"E1 Q1","UG","E1",-1.38629436111989,"HECO",4.90235964530731,0.0351649999999999,0,0.059328770983381
36,"Q1",36,20,0.24999999999999,0,1,14.2879894200985,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",1.9008050791953,0.102142310896449,0.0188288306922739,0.0388264125684747
37,"Q1",36,35,0.25,1,1,5.8541753497438,0,1,"E1 Q1","UG","E1",-1.38629436111989,"HECO",1.00514323247034,0.066879149866897,0,0.0618914654770258
39,"Q1",36,7,0.25,1,3,4.6058503485812,0,0,"E1 Q1","UG","E1",-1.38629436111989,"HECO",1.06813615123872,0.0421267009136479,0,0.529111100057726
40,"Q1",36,21,0.24999999999999,0,1,10.2457925413339,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",5.79671054883386,0.54589990311254,0,0.0325050178266133
41,"Q1",36,36,0.25,0,1,5.6758433183278,0,1,"E1 Q1","UG","E1",-1.38629436111989,"HECO",0.680478324742767,0.236939254013318,0,0.139229043273757
43,"Q1",36,34,0.24999999999999,0,1,22.3941339588979,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",0.561403542725896,2.500000004996e-06,0,0.173839413568865
44,"Q1",36,29,0.25,1,1,10.2312862913203,0,0,"E1 Q1","UG","E1",-1.38629436111989,"HECO",1.04661818401733,0.0425224852292344,0.126913220567699,0.0352201380761666
45,"Q1",36,19,0.24999999999999,1,1,8.40302691461761,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",3.9584492099634,0.41760956000658,0.00538191761199567,0.0281530505935592
46,"Q1",36,37,0.25,1,1,5.0219589427188,0,1,"E1 Q1","UG","E1",-1.38629436111989,"HECO",0.0674399320519742,3.99680288865056e-15,0,0.518887335613634
47,"Q1",36,15,0.24999999999999,0,1,14.6446542641807,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",10.0095141335488,0.0539354395330207,0.0485939239178993,0.0362063168605358
48,"Q1",36,10,0.25,1,2,5.416315974336,0,0,"E1 Q1","UG","E1",-1.38629436111989,"HECO",1.18413552823898,0.0383859576289853,0.0465341244302137,0.0302349956537687
50,"Q1",36,38,0.24999999999999,1,1,11.167176135942,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",3.05030048839114,0.44158618347337,0,0.0340039365155939
51,"Q1",36,32,0.25,0,1,11.6796948864192,0,1,"E1 Q1","UG","E1",-1.38629436111989,"HECO",2.26721375200127,0.0358791781781377,0,0.484537616766453
54,"Q1",36,33,0.24999999999999,0,1,35.3384347522031,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",0.0578410006826129,0.000903523573863754,0.043463615764222,0.0586228610738222
57,"Q1",37,38,0.2171774244067,0,2,14.87050815,0,0,"E1 Q1","UG","E1",-1.52704063552008,"HECO",6.16019414263078,0.203355700787121,0,0.046520515854869
58,"Q1",37,39,0.41619683382915,0,1,25.44692145,0,0,"E1 Q1","UG","E1",-0.876596972381789,"HECO",49.9567063557501,0.000782795310376608,0,0.0271048903353841
59,"Q1",37,45,0.24999999999999,0,1,15.0653542645724,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",29.7315372846396,0.317224167768898,0,0.0605010964947268
60,"Q1",37,41,0.24999999999999,0,1,12.2007136369044,0,0,"E1 Q1","UG","E1",-1.38629436111993,"HECO",42.7473338357171,0.442077029437926,0,0.0551202801567412
62,"Q1",37,37,0.24999999999999,1,2,4.7152878486832,0,0,"E1 Q1","UG","E1",-1.38629436111993,"HECO",0.0874905189715689,6.99440505513849e-15,0.0417637653773456,0.310273107108871
63,"Q1",37,46,0.24999999999999,1,1,4.79032847375301,0,0,"E1 Q1","UG","E1",-1.38629436111993,"HECO",0.973425296453051,0.0022410266923603,0,0.0140155528588614
64,"Q1",37,7,0.5,1,4,5.1363347240753,0,0,"E1 Q1","UG","E1",-0.693147180559945,"HECO",0.845580062527659,0.0325796143442767,0,0.422922419495086
65,"Q1",37,35,0.25,1,2,5.379707380552,0,0,"E1 Q1","UG","E1",-1.38629436111989,"HECO",0.682124109201001,0.0533199999999999,0,0.0653117837028373
66,"Q1",37,6,1.83595051461679,1,4,26.68780195,0,0,"E1 Q1","UG","E1",0.607562339011966,"HECO",0.305399340907294,1.11022302462516e-15,0.14266364666189,0.0512504370045426
67,"Q1",37,2,0.74179941410705,1,5,39.4548988185369,0,0,"E1 Q1","UG","E1",-0.29867640375299,"HECO",0.6660937635626,1.40221168010157e-15,0,0.0255273903353841
68,"Q1",37,42,0.24999999999999,0,1,14.6903316079732,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",28.403426471418,0.339885051019736,0,0.0605010964947268
69,"Q1",37,44,0.24999999999999,0,1,9.7042120720794,0,1,"E1 Q1","UG","E1",-1.38629436111993,"HECO",31.4525614458722,0.318003882932599,0,0.0358735972786841
70,"Q1",37,29,0.25,1,2,10.7383144167926,0,0,"E1 Q1","UG","E1",-1.38629436111989,"HECO",0.968892626248912,0.0337363365346316,0.213117153148116,0.0685667870515519
71,"Q1",37,27,0.49999999999998,1,2,11.285301917302,0,0,"E1 Q1","UG","E1",-0.693147180559985,"HECO",0.468697988690949,2.09832151654155e-14,0,0.949722951814172
73,"Q1",37,13,1.21340726436188,0,2,8.1129683205975,0,0,"E1 Q1","UG","E1",0.193432323290635,"HECO",43.2143320874455,0.00213395105511848,0,0.0204333015872532
74,"Q1",37,19,0.24999999999999,0,2,6.60018081918851,0,0,"E1 Q1","UG","E1",-1.38629436111993,"HECO",2.13930882008911,0.00954759587107383,0,0.0124670825529324
75,"Q1",37,22,0.24999999999999,1,2,13.100962075243,0,0,"E1 Q1","UG","E1",-1.38629436111993,"HECO",2.60897503652034,0.156199453132917,0,0.0232169183635014
76,"Q1",37,3,14.8185277708461,1,5,20.20998785,0,0,"E1 Q1","UG","E1",2.69587827423468,"HECO",4.48583322487255,0.000425000000009872,0.0272148198928322,0.0390104392546616
77,"Q1",37,10,0.25,1,3,6.4456589440447,0,0,"E1 Q1","UG","E1",-1.38629436111989,"HECO",1.57281921979945,0.00514967196378182,0.0096225,0.041614402564783
78,"Q1",37,43,0.24999999999999,0,1,7.1132487884164,0,0,"E1 Q1","UG","E1",-1.38629436111993,"HECO",19.6201323602657,0.174416915749623,0,0.0122740664646915
79,"Q1",38,35,0.25,1,3,5.4242042555934,0,0,"E1 Q1","UG","E1",-1.38629436111989,"HECO",1.28942946889293,0.0600314273101431,0,0.0816372189097697
