"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"intcpt.yr[1,1]",0.0379138275,1.16635161480968,-2.196,-0.71935,0.065405,0.8253,2.3656,1.00329955823995,1000
"intcpt.yr[1,2]",1.442161765,0.958528210766482,-0.533775,0.8149,1.47,2.109,3.21715,1.00053508083019,2000
"intcpt.yr[1,3]",2.30476975,0.672798232191909,0.971462727455322,1.856,2.29049994542676,2.74524996585425,3.6600749700469,1.0081594710408,670
"intcpt.yr[1,4]",3.11265855,0.710840600765563,1.73579954932344,2.62374996426416,3.095,3.583,4.51224973028043,1.01674277173415,110
"intcpt.yr[2,1]",-1.548820126,1.15885771007271,-3.986,-2.25225,-1.502,-0.76495,0.524062499999995,1.0005030353967,2000
"intcpt.yr[2,2]",1.542706455,0.764054324639343,0.013619,1.0205,1.569,2.08,3.0461,1.00149409246388,2000
"intcpt.yr[2,3]",2.3571088,0.538229571519802,1.32389985242544,1.99074995289931,2.357,2.70349986132511,3.43909994334085,1.0006429469387,2000
"intcpt.yr[2,4]",2.32775545,0.555964463264068,1.29784966094778,1.94674995183457,2.31,2.70149986122247,3.45302499647113,1.03583445843866,56
"intcpt.yr[3,1]",-0.934278964,0.627905460083068,-2.139325,-1.36125,-0.93065,-0.501275,0.285707499999999,1.00117809928594,2000
"intcpt.yr[3,2]",1.475086625,0.533764410304596,0.4623475,1.117,1.458,1.8155,2.548075,1.00143218795369,1600
"intcpt.yr[3,3]",2.6816995,0.38789695438784,1.96297499378931,2.41074996110631,2.675,2.93,3.476,1.00803532874307,490
"intcpt.yr[3,4]",2.18443995,0.379096828068402,1.43882458366441,1.94,2.17749994259472,2.437,2.93409993359742,1.04497674526061,50
"intcpt.yr[4,1]",-2.058571065,0.809716806037398,-3.73725,-2.571,-2.024,-1.50575,-0.557015,1.00349001002116,500
"intcpt.yr[4,2]",0.4712725267,0.65312598104588,-0.9170725,0.0641875,0.49465,0.9316,1.6523,1.00110585868834,2000
"intcpt.yr[4,3]",1.5544744,0.42534134980809,0.686362459992147,1.273,1.54849991927672,1.851,2.4140249949527,1.00231809871588,2000
"intcpt.yr[4,4]",0.766240157,0.440283314284473,-0.102625,0.486125,0.77425,1.066,1.596175,1.02637220126505,80
"intcpt.yr[5,1]",-0.81304138,0.636236404077537,-2.067,-1.22425,-0.83235,-0.38545,0.435577499999999,1.00251019170615,750
"intcpt.yr[5,2]",3.057922,0.477565086791383,2.11579963045989,2.75074996591426,3.05649995910355,3.3802499722681,3.98222475245578,1.00118691190547,2000
"intcpt.yr[5,3]",2.2571945,0.385488439954325,1.51889987140308,2.004,2.24749994438265,2.501,3.06914985722186,1.0012076175266,2000
"intcpt.yr[5,4]",2.432734,0.375224947364327,1.71297499288255,2.17774995694439,2.44249994882293,2.685,3.15214986097686,1.05596212473719,39
"intcpt.yr[6,1]",-0.59841165775,0.628772995713898,-1.833025,-1.019,-0.61645,-0.189,0.677435,1.00110180320156,2000
"intcpt.yr[6,2]",2.64655235,0.462194345119894,1.74494997204194,2.32774995971929,2.653,2.96124996834464,3.55209994514202,1.0011896562322,2000
"intcpt.yr[6,3]",1.281003225,0.402031922135864,0.52488,0.991125,1.273,1.55925,2.091,1.00051549789882,2000
"intcpt.yr[6,4]",1.51263675,0.398697806947906,0.7362,1.244,1.51749991762767,1.787,2.29702499469569,1.05094625365333,41
"intcpt.yr[7,1]",0.745655889825,0.439416741076779,-0.120185,0.46025,0.7301,1.045,1.62205,1.00180033076996,1200
"intcpt.yr[7,2]",2.60222495,0.391341794346705,1.85597499343113,2.336,2.603,2.865,3.3810499855868,1.00062404853598,2000
"intcpt.yr[7,3]",3.1706385,0.322761571959732,2.55582476593647,2.94374996814926,3.15449996037407,3.384,3.83502499682258,1.0042383390049,580
"intcpt.yr[7,4]",0.991708605,0.342558912593882,0.32736,0.756125,1,1.23625,1.655025,1.03533842593416,56
"intcpt.yr[8,1]",1.167926917,0.49450510126295,0.2020725,0.834825,1.1575,1.49025,2.151,1.00216656216142,900
"intcpt.yr[8,2]",4.559813,0.370447977296329,3.84489994925003,4.314,4.554,4.815,5.30207497931975,1.00155118785137,1400
"intcpt.yr[8,3]",1.6175948,0.368598706802246,0.89356998034296,1.366,1.61049992238435,1.86224994966668,2.35602499482848,1.00396084079545,430
"intcpt.yr[8,4]",4.337954,0.316813226040355,3.71277473370169,4.128,4.353,4.54924997939372,4.93407497777795,1.05969899634952,37
"intcpt.yr[9,1]",-0.33991892485,0.512389504578757,-1.33,-0.6671,-0.34355,0.0078295,0.68045,1.0053462369324,310
"intcpt.yr[9,2]",2.9951675,0.388664441990754,2.256,2.73674996573987,2.993,3.25324997118562,3.7520249967523,1.00101271387336,2000
"intcpt.yr[9,3]",2.08045885,0.343429326197871,1.40794996534401,1.845,2.088,2.30549983739249,2.7590999293896,1.00291791141882,1700
"intcpt.yr[9,4]",1.2666699,0.340172549606436,0.582561863344834,1.041,1.26349990106846,1.49724993739914,1.93112484248104,1.06412515339749,43
"intcpt.yr[10,1]",1.0582370305,0.487307083955188,0.1016875,0.72925,1.052,1.387,2.02515,1.00638188541134,260
"intcpt.yr[10,2]",3.426947,0.446132901133437,2.5699499810214,3.141,3.42699985409979,3.725,4.30137436389031,1.00232976394068,2000
"intcpt.yr[10,3]",2.2766185,0.342111672054357,1.62997499251998,2.045,2.271,2.50024996250875,2.99409993492697,1.00133535114688,1800
"intcpt.yr[10,4]",1.7708424,0.344581083308017,1.0877992795988,1.53,1.78,2.008,2.43919968088569,1.08665103828429,25
"intcpt.yr[11,1]",0.031395838,0.544362403900727,-1.058175,-0.3215,0.02337,0.3944,1.08335,1.00640263222715,260
"intcpt.yr[11,2]",2.3396868,0.445433250247411,1.4759749917392,2.03474995391799,2.345,2.64,3.19507496569022,1.00313425455703,2000
"intcpt.yr[11,3]",1.2387286,0.374059873772399,0.508604652333788,0.988924991467145,1.239,1.483,1.96414977705215,1.00158159388956,2000
"intcpt.yr[11,4]",0.59264718535,0.388175004655573,-0.1570225,0.3383,0.58755,0.8512,1.338175,1.04573000263957,40
"intcpt.yr[12,1]",-1.4168488655,0.605377465536168,-2.607025,-1.8025,-1.4105,-1.01875,-0.23756,1.00380124332405,460
"intcpt.yr[12,2]",2.0940597,0.48286320449278,1.16987473884834,1.76974994701644,2.074,2.42824996139725,3.05304998403898,1.00517023897522,650
"intcpt.yr[12,3]",1.5797047,0.36767518874697,0.871629890154253,1.329,1.581,1.83074953937484,2.3000249947026,1.00186451989205,2000
"intcpt.yr[12,4]",0.70558488245,0.391028641304707,-0.0440625,0.432675,0.7083,0.9797,1.457175,1.03991054614646,44
"intcpt.yr[13,1]",-0.005067483745,0.523810294901601,-1.022025,-0.3622,-0.01476,0.350575,1.03235,1.00352589512508,500
