"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"intcpt.yr[1,1]",1.0572002941,1.34244303890336,-1.7562,0.209025,1.11,1.9635,3.5791,1.01589704382405,99
"intcpt.yr[1,2]",2.4956252655,1.01177707238836,0.5344025,1.83975,2.524,3.20375,4.380425,1.00050377815132,2000
"intcpt.yr[1,3]",3.309639,0.67617702442717,1.971,2.86174996723651,3.28699984788561,3.755,4.66807497651219,1.00050787145179,2000
"intcpt.yr[1,4]",3.932052,0.695058944093148,2.61089992524056,3.48674997310993,3.91249996805112,4.39549991469841,5.35302499772352,1.03721337420052,56
"intcpt.yr[2,1]",-0.970028949,1.51217697208215,-4.347375,-1.875,-0.8375,0.09635,1.7915,1.03602314710642,48
"intcpt.yr[2,2]",2.627681535,0.86880314565743,0.9176875,2.0675,2.6255,3.20325,4.3412,1.00120737187418,2000
"intcpt.yr[2,3]",3.255223,0.574268365268952,2.16072431529474,2.863,3.2424999614495,3.63124997418481,4.43504998901115,1.00054605149233,2000
"intcpt.yr[2,4]",3.6608665,0.587292754993439,2.54792495691813,3.26174997125482,3.655,4.02824997672879,4.92412493816329,1.02564062594343,78
"intcpt.yr[3,1]",0.28087065417,0.742905024669635,-1.22905,-0.2042,0.2811,0.771975,1.723075,1.09689263001436,21
"intcpt.yr[3,2]",2.65193275,0.61809926001416,1.44697499157357,2.232,2.644,3.062,3.884199799448,1.00620395637332,290
"intcpt.yr[3,3]",3.3784755,0.417966524266542,2.54592495688426,3.0947499697035,3.372,3.656,4.21002499710556,1.00102826850034,2000
"intcpt.yr[3,4]",3.410435,0.43938546809127,2.56382476666809,3.126,3.404,3.71324997475484,4.31007497456212,1.05208872743952,44
"intcpt.yr[4,1]",-0.9423176675,0.911398244415619,-2.776075,-1.54175,-0.93615,-0.31145,0.772279999999999,1.05159477715692,35
"intcpt.yr[4,2]",1.60719875775,0.741348485044813,0.1503075,1.118,1.5845,2.086,3.121025,1.0046996451444,360
