"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"intcpt.yr[1,1]",0.112461326,1.1817898242701,-2.15805,-0.7348,0.095305,0.9634,2.423025,1.00277363879228,660
"intcpt.yr[1,2]",1.490974341,1.01040773031866,-0.5653175,0.838625,1.505,2.1665,3.4522,1.01593689027295,100
"intcpt.yr[1,3]",2.6294483,0.672934443738686,1.37,2.16549982677649,2.62099980923311,3.071,3.96252364815581,1.00797797347245,200
"intcpt.yr[1,4]",3.23710425,0.697968360696389,1.906,2.75674996598845,3.232,3.70349989876265,4.611,1.00256380814802,1200
"intcpt.yr[2,1]",-1.555210524355,1.14702001946543,-3.957375,-2.306,-1.4945,-0.767825,0.5038625,1.00141174646352,1600
"intcpt.yr[2,2]",1.5656470965,0.784488548752147,-0.01655025,1.04675,1.571,2.076,3.145025,1.00531018916644,330
"intcpt.yr[2,3]",2.538627,0.542188154609172,1.55384971694438,2.16774995674574,2.521,2.915,3.58407496941208,1.005085537559,330
"intcpt.yr[2,4]",2.412522,0.541778337449427,1.42279944982503,2.045,2.40899979244499,2.76149986423701,3.48832441093815,1.00068463196951,2000
"intcpt.yr[3,1]",-0.9363503078,0.624033292687212,-2.216125,-1.34925,-0.90965,-0.5098,0.259649999999998,1.0038647029398,450
"intcpt.yr[3,2]",1.509009147,0.546817973597042,0.3967975,1.15475,1.5205,1.863,2.56705,1.02243486631711,72
"intcpt.yr[3,3]",2.7641255,0.377701971320405,2.0359499760405,2.505,2.77199981962481,3.012,3.52304998616753,1.00275304051781,670
"intcpt.yr[3,4]",2.272973,0.370909409648883,1.55794996868342,2.025,2.27349994501869,2.526,3.01102499595323,1.00805399289353,260
"intcpt.yr[4,1]",-2.02951937,0.774379644721103,-3.604375,-2.51825,-1.995,-1.49975,-0.598102500000001,1.00203391248441,980
"intcpt.yr[4,2]",0.44382551245,0.682389626192903,-0.933675,-0.0184525,0.45155,0.911925,1.7501,1.02490028054567,67
"intcpt.yr[4,3]",1.69679065,0.422754344786184,0.8981,1.398,1.683,1.97149980985379,2.57847330160715,1.00464760204744,360
"intcpt.yr[4,4]",0.8470674505,0.436166394557773,0.00959520000000001,0.55705,0.83645,1.141,1.699,1.00358483525559,630
"intcpt.yr[5,1]",-0.76933188775,0.627204691518954,-2.036725,-1.158,-0.7576,-0.35905,0.405109999999999,1.00372738367141,470
"intcpt.yr[5,2]",3.102723,0.5127021972281,2.10994997688131,2.75174996592664,3.093,3.4317497542058,4.18309995341207,1.05548091768345,33
"intcpt.yr[5,3]",2.461685,0.394726999934434,1.70097499283232,2.195,2.4444999488648,2.72724996562891,3.23217481548967,1.00536910639456,310
"intcpt.yr[5,4]",2.529712,0.369208390307881,1.80487483088959,2.27574995879875,2.53449995068061,2.783,3.24202499624151,1.00409555687283,820
"intcpt.yr[6,1]",-0.59657274685,0.615169746406507,-1.8102,-1.002,-0.579,-0.187875,0.58421,1.00838864124121,240
"intcpt.yr[6,2]",2.666009,0.500460822079229,1.68589988416067,2.34449984000568,2.652,2.97924996853587,3.69124967039269,1.0393703854,55
"intcpt.yr[6,3]",1.426535565,0.417740541771685,0.633297499807536,1.13724925742543,1.416,1.706,2.255,1.01000856603916,180
"intcpt.yr[6,4]",1.61263655,0.39311407436879,0.854439412971054,1.351,1.607,1.881,2.37719967258053,1.00527795131329,770
"intcpt.yr[7,1]",0.740990795,0.451109656303272,-0.1751825,0.428625,0.75535,1.04575,1.576,1.01325735562374,160
"intcpt.yr[7,2]",2.6074605,0.419897018556749,1.82889989323061,2.315,2.59349995180258,2.87,3.46919977549212,1.03628084517102,52
"intcpt.yr[7,3]",3.1789135,0.311308500540869,2.58797499528957,2.96,3.177,3.387,3.79407497110426,1.00364325452957,480
"intcpt.yr[7,4]",1.06441528,0.336944123674031,0.3953375,0.844,1.07,1.29,1.70705,1.00651975939309,530
"intcpt.yr[8,1]",1.141579289,0.501536446368084,0.05854475,0.83075,1.1655,1.473,2.086025,1.00885009301536,180
"intcpt.yr[8,2]",4.57399,0.412378305483468,3.7768999483357,4.303,4.564,4.83224998060044,5.4131998560425,1.02153844895409,75
"intcpt.yr[8,3]",1.68951385,0.361058928262433,1.01594995195544,1.44374993504994,1.689,1.928,2.42007495471154,1.00255143675908,1200
"intcpt.yr[8,4]",4.423935,0.315838740229749,3.80087491977069,4.212,4.4254999717546,4.632,5.05302499758838,1.00572025774836,2000
"intcpt.yr[9,1]",-0.35758147485,0.511555754567995,-1.3641,-0.693475,-0.35735,-0.00386325,0.59417,1.00249167474422,750
"intcpt.yr[9,2]",3.0023035,0.419535497192374,2.22497499452085,2.71,2.99249995822891,3.276,3.86,1.0406535188196,43
"intcpt.yr[9,3]",2.1577475,0.35075265566561,1.45997499164863,1.915,2.153,2.38724996073435,2.86009993188089,1.00430170832233,400
"intcpt.yr[9,4]",1.3362174,0.347538686517851,0.663687126538267,1.111,1.343,1.57,2.0010499756532,1.00769835684768,640
"intcpt.yr[10,1]",1.06641060075,0.47838743226714,0.1001545,0.7474,1.0815,1.389,2.005025,1.00646550249605,250
"intcpt.yr[10,2]",3.46963,0.471708661814488,2.58692495756811,3.159,3.458,3.7694999005349,4.4441249314892,1.03473984411676,54
"intcpt.yr[10,3]",2.339038,0.333187030591944,1.71487482199792,2.099,2.331,2.56424996344435,3.00514985418498,1.00400947189282,460
"intcpt.yr[10,4]",1.8550505,0.348336638622258,1.15294995767065,1.629,1.854,2.089,2.52004998066486,1.00505517249592,1500
"intcpt.yr[11,1]",0.01720646165,0.526355693519701,-0.98307,-0.3432,0.04194,0.37355,1.011125,1.00498566554396,460
"intcpt.yr[11,2]",2.3523289,0.490213679920074,1.41794996558864,2.013,2.34799914821109,2.66949985955932,3.38304998559532,1.03532854662932,52
"intcpt.yr[11,3]",1.42332645,0.378632933029319,0.689364965303911,1.1694996791672,1.424,1.685,2.164,1.00402937443188,430
"intcpt.yr[11,4]",0.680575909,0.381011905243825,-0.042048,0.411925,0.6794,0.9374,1.429025,1.00234787228991,810
"intcpt.yr[12,1]",-1.397498629,0.609845852570689,-2.628275,-1.796,-1.3895,-0.987775,-0.279432500000001,1.0042500671455,2000
"intcpt.yr[12,2]",2.11288405,0.492194761321302,1.1629749895147,1.77949978918765,2.10649994065986,2.44024996158705,3.10509993725128,1.03481482141007,52
"intcpt.yr[12,3]",1.75016435,0.367801961856718,1.06787471382972,1.4887499370136,1.74149992822279,2.00924995334854,2.44902499502482,1.00753146497485,210
"intcpt.yr[12,4]",0.805368545,0.389566355642861,0.06649175,0.531375,0.81135,1.078,1.56605,1.00078579884274,2000
"intcpt.yr[13,1]",-0.0025802046,0.526767707996633,-1.065025,-0.361,0.00081145,0.373275,0.9896625,1.00329642039349,540
"intcpt.yr[13,2]",3.2804225,0.474607346192914,2.38297499488423,2.962,3.25849996163879,3.58024997381712,4.271,1.03697223502194,48
"intcpt.yr[13,3]",3.8185075,0.32334030126008,3.16684986128892,3.603,3.82249996729889,4.038,4.4541249316429,1.00452905800427,1300
"intcpt.yr[13,4]",3.090375,0.330482946404095,2.45094998009947,2.866499869148,3.09249995957963,3.322249971784,3.71504998688217,1.00265906421222,2000
"intcpt.yr[14,1]",1.814335795,0.499424357119284,0.818997249054439,1.47374993637238,1.821,2.15449982599953,2.75019971690567,1.00939613007041,390
"intcpt.yr[14,2]",2.3446605,0.446874533470058,1.47394996689716,2.048,2.34199978650725,2.632,3.26907496646642,1.02167047081505,75
"intcpt.yr[14,3]",4.092704,0.312267349930979,3.492,3.88374997585889,4.08949996943392,4.292,4.75102499743511,1.00436218036747,800
"intcpt.yr[14,4]",3.3459995,0.311430314709744,2.726,3.13074997005191,3.346,3.555,3.955,1.01056181605898,2000
"intcpt.yr[15,1]",-0.7569836101,0.631308480006987,-1.985,-1.187,-0.74225,-0.3368,0.461505,1.00052316522688,2000
"intcpt.yr[15,2]",2.3600684,0.494414432087867,1.42679945137293,2.02674995373607,2.34549994670646,2.66724996485583,3.39104998562929,1.03698220907517,57
"intcpt.yr[15,3]",2.3992235,0.391756116704306,1.63,2.13049982392988,2.398,2.66124996477661,3.16009993834251,1.00638176966606,330
"intcpt.yr[15,4]",1.73112985,0.373385883280145,0.9979,1.4837499368013,1.73249992784993,1.98424995276086,2.47802499508303,1.00315771644766,1000
"intcpt.yr[16,1]",-2.039945795,0.776497222014004,-3.638075,-2.571,-2.0385,-1.5115,-0.513645,1.00142838047381,1800
"intcpt.yr[16,2]",1.99976145,0.491815130552342,1.05884958414218,1.6547499433335,1.98149993691648,2.327,2.974,1.03500859666721,57
"intcpt.yr[16,3]",1.75736945,0.385863606437669,0.981330651123916,1.49574993730844,1.758,2.015,2.5200749565073,1.00464037291101,360
"intcpt.yr[16,4]",0.04649496385,0.47664656273911,-0.9117125,-0.2624,0.06358,0.371275,0.93478,1.00234044204703,1900
"intcpt.yr[17,1]",-1.241854775,0.546489601254854,-2.360075,-1.59725,-1.258,-0.874475,-0.196365,1.00563028279698,360
"intcpt.yr[17,2]",2.15556545,0.453020432947159,1.28072384225003,1.855,2.138,2.43724996153978,3.09414985837406,1.02918658457282,60
